"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FGLBJAKE_01809",25998.5831502086,-2.96067858866251,0.0538686026118949,-54.9611173319865,0,0
"FGLBJAKE_01812",16163.6009650271,-2.35375171103398,0.0542914140739948,-43.3540321463355,0,0
"FGLBJAKE_01813",12976.0206051694,-2.55790702979063,0.060535317433055,-42.254788415364,0,0
"FGLBJAKE_01815",56494.6176301165,-2.28757467856922,0.0576830887770283,-39.6576315011796,0,0
"FGLBJAKE_01840",31845.7703761684,2.12806144827493,0.0526482525260791,40.4203624274291,0,0
"FGLBJAKE_01847",2502.69123965391,5.93169519423933,0.109547286799149,54.1473492183777,0,0
"FGLBJAKE_01848",4807.31198790527,5.81364959831996,0.0948671926544466,61.2819820598693,0,0
"FGLBJAKE_01849",3039.20264383902,5.52445576797258,0.100950404439831,54.7244540388669,0,0
"FGLBJAKE_01850",9868.67770559717,5.94721229394273,0.0838998662459451,70.8846457097916,0,0
"FGLBJAKE_01868",15319.8679968755,5.90926942850769,0.0717062297331392,82.4094287274556,0,0
"FGLBJAKE_01887",8071.122154705,2.53111202785085,0.0576353175593062,43.9159899699756,0,0
"FGLBJAKE_01941",53180.1069071945,5.08167258219462,0.0622463123805597,81.6381306434097,0,0
"FGLBJAKE_02066",5159.18283630991,-4.78411620549954,0.0720924975015676,-66.3608055109412,0,0
"FGLBJAKE_02067",1788.90162599724,-4.12763250087916,0.0901338199299649,-45.7944920573252,0,0
"FGLBJAKE_02084",1579.81539856855,-3.39267059765371,0.0835065179162027,-40.6276142547124,0,0
"FGLBJAKE_02112",2749.80233353666,-2.75139579908291,0.067754218048656,-40.6084798603544,0,0
"FGLBJAKE_02123",1450.38108568715,3.51712808375232,0.0894935333751084,39.3003600495963,0,0
"FGLBJAKE_02130",3714.71702516798,3.51462145535221,0.0752465343759878,46.7080840931562,0,0
"FGLBJAKE_02131",2749.58749921765,3.20070893325277,0.0750650246772176,42.6391511494993,0,0
"FGLBJAKE_02167",1972.08323729157,4.20356081852403,0.0957524458113978,43.9002970932327,0,0
"FGLBJAKE_02168",1512.5882853444,4.32918849111838,0.103701440009879,41.7466574302726,0,0
"FGLBJAKE_02207",1438.3978820942,4.82293375814165,0.107100518249857,45.0318433276871,0,0
"FGLBJAKE_02208",1826.98018388634,4.95048386997456,0.104162281694945,47.526645820536,0,0
"FGLBJAKE_02246",8184.19652789455,-2.62496269369482,0.062186662274947,-42.2110239988284,0,0
"FGLBJAKE_02265",1850.58467777084,-4.90750147337731,0.106277277416367,-46.176394358984,0,0
"FGLBJAKE_02266",2618.61526326985,-4.17885516335527,0.0786122947655429,-53.1577811819193,0,0
"FGLBJAKE_02267",3294.20591873704,-3.72033448444401,0.0733042968885064,-50.7519291823032,0,0
"FGLBJAKE_02285",1463.34288075234,4.12989996117907,0.0967039150686863,42.7066469671441,0,0
"FGLBJAKE_02335",2575.63822309795,5.02298936609049,0.0994416161978218,50.5119441753453,0,0
"FGLBJAKE_02396",2662.8446904069,-2.95296033771014,0.0751867597115237,-39.2750046556076,0,0
"FGLBJAKE_02398",37449.1445947661,-2.44017740128879,0.0599769115969034,-40.6852793236318,0,0
"FGLBJAKE_02435",7932.60556173951,-2.20592585494087,0.0552134136155437,-39.9527163870168,0,0
"FGLBJAKE_02443",1647.91682677438,5.4744097161513,0.129932611483615,42.1326844249693,0,0
"FGLBJAKE_02459",1135.73215188826,4.29930380280255,0.105159786986553,40.8835347237088,0,0
"FGLBJAKE_02591",2483.92707275765,3.44997181124009,0.0759970306808923,45.3961395640094,0,0
"FGLBJAKE_02593",73247.6159878003,7.31291672883173,0.0828181324292364,88.3009132701733,0,0
"FGLBJAKE_02594",2996.48727915848,6.40789865326994,0.118710996868264,53.9789810743561,0,0
"FGLBJAKE_02595",6788.89991933212,6.97792760454204,0.100629019731864,69.3430942995913,0,0
"FGLBJAKE_02596",5971.36505636278,6.36990052253231,0.0930334460318176,68.4689301990791,0,0
"FGLBJAKE_02597",12020.7224084595,6.01583300216552,0.0727935576144399,82.6423820914087,0,0
"FGLBJAKE_02598",10441.9084265328,5.87295656108875,0.0775876887106928,75.6944388817625,0,0
"FGLBJAKE_02599",14534.6386336763,5.78954019653198,0.0713914750128731,81.0956797781252,0,0
"FGLBJAKE_02608",9845.85248203581,5.64956651611094,0.0883039038387305,63.9786721822486,0,0
"FGLBJAKE_02611",92849.2903132112,3.88185206525587,0.0660491292551019,58.7721913829171,0,0
"FGLBJAKE_02655",6296.81585109156,2.47090147124994,0.0634103752345095,38.966832511428,0,0
"FGLBJAKE_02664",6848.50210936693,2.67122476149074,0.0618856650544581,43.1638693571462,0,0
"FGLBJAKE_02828",23520.4943113638,2.44530204383293,0.0591564477830472,41.3361879469324,0,0
"FGLBJAKE_02881",1552.2436369966,-3.27478663504171,0.0819985065446007,-39.9371497487028,0,0
"FGLBJAKE_03090",4297.48412510906,3.16427811806992,0.0687045719690436,46.0562962170212,0,0
"FGLBJAKE_01861",9650.1186671276,-2.28785157249259,0.0595554916953461,-38.4154593869531,6.91691904177745e-323,1.26480805335359e-321
"FGLBJAKE_00919",3798.14079089775,-2.5055863651974,0.0655586808680715,-38.2189868987689,1.36253423810099e-319,2.47843090579803e-318
