"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FGLBJAKE_00099",163830.684268466,1.99587548853671,0.0501979726150812,39.7600816240352,0,0
"FGLBJAKE_00154",24795.5461010658,2.44199578069777,0.051861651141749,47.086734165545,0,0
"FGLBJAKE_00157",16162.4282926858,-4.16609782959263,0.0678527056692414,-61.3991408080457,0,0
"FGLBJAKE_00158",21784.930075874,-4.38657425370947,0.0626336356093033,-70.035440399342,0,0
"FGLBJAKE_00219",2538.48200372752,2.85677020827967,0.0739680318722576,38.6216874502392,0,0
"FGLBJAKE_00227",4108.7747010755,-3.49649989836964,0.070762500017202,-49.4117632576529,0,0
"FGLBJAKE_00228",4858.15692540732,-2.44037199099435,0.0620747401463317,-39.3134467456737,0,0
"FGLBJAKE_00285",30486.943912027,-2.63074927500738,0.056554856538803,-46.5167703714781,0,0
"FGLBJAKE_00286",25881.4801814215,-2.55994400742418,0.0577950305137763,-44.2934969437204,0,0
"FGLBJAKE_00287",110144.132323911,-2.88465484436408,0.0739323348862576,-39.0174995663537,0,0
"FGLBJAKE_00288",50321.6340357568,-3.09950536436471,0.0502149828991373,-61.7247121360259,0,0
"FGLBJAKE_00328",1816.09297677194,3.88694776888148,0.0895287845282781,43.4156209018315,0,0
"FGLBJAKE_00329",1335.01586055275,5.45101384170964,0.126109468040008,43.2244614653381,0,0
"FGLBJAKE_00331",3246.77610558972,5.18371688554781,0.085960501030926,60.3034745421373,0,0
"FGLBJAKE_00341",1371.20986475849,4.51971890585156,0.101620459235699,44.4764660565889,0,0
"FGLBJAKE_00342",2800.37490441738,4.58731720037897,0.0840250085734526,54.5946650677083,0,0
"FGLBJAKE_00378",950.046098239481,4.52711990977568,0.116962841483257,38.7056252427292,0,0
"FGLBJAKE_00431",11450.3765372605,-2.26790328151229,0.0551190612350805,-41.1455353319567,0,0
"FGLBJAKE_00458",22463.1223486107,4.34986076128467,0.0752920536894894,57.77317191033,0,0
"FGLBJAKE_00467",10145.8650226806,-4.47345259372673,0.069424223798218,-64.4364797902365,0,0
"FGLBJAKE_00468",18570.1735681271,-4.47960063357246,0.0707709658491218,-63.2971527211119,0,0
"FGLBJAKE_00469",11877.5539166387,-5.7051094087821,0.0866737719979585,-65.8227890314556,0,0
"FGLBJAKE_00470",16787.4995840496,-5.64686672316455,0.0748933190567338,-75.3988045166871,0,0
"FGLBJAKE_00471",18129.6297137635,-5.49638701341457,0.0691774856146778,-79.4534083535464,0,0
"FGLBJAKE_00472",19620.1624841164,-5.25445339215136,0.0761620215277627,-68.9904664654418,0,0
"FGLBJAKE_00473",10249.1095048799,-5.23205987535118,0.0889089474682071,-58.8473941525639,0,0
"FGLBJAKE_00474",8100.69531205493,-5.35864858553217,0.0955681330666999,-56.0715001285231,0,0
"FGLBJAKE_00475",27642.5495691943,-5.21721521072759,0.0626754376274397,-83.2417835155804,0,0
"FGLBJAKE_00476",13993.7119481446,-4.86593586340379,0.0716665154008851,-67.8969227983937,0,0
"FGLBJAKE_00477",14590.7128327113,-4.877187076502,0.0759435639430548,-64.2212035263328,0,0
"FGLBJAKE_00478",6749.29133980573,-3.7025762099738,0.0652264199347037,-56.7649767330529,0,0
"FGLBJAKE_00479",9988.06554652466,-2.97057922653835,0.0573756205477495,-51.7742413620809,0,0
"FGLBJAKE_00482",6752.09658984527,-2.41505904153652,0.0586451115287104,-41.1809096885116,0,0
"FGLBJAKE_00483",4467.17623092532,-2.57302056500478,0.0616562534460207,-41.731704753313,0,0
"FGLBJAKE_00484",7862.02919819342,-2.50231292907475,0.0558203702421455,-44.827952917902,0,0
"FGLBJAKE_00485",4490.46475612337,-3.09401738666514,0.0652304078475684,-47.4321330919055,0,0
"FGLBJAKE_00486",8872.49418929471,-2.36075602988657,0.056824861313514,-41.5444222003784,0,0
"FGLBJAKE_00497",14228.592398416,4.29798540394862,0.07128253831671,60.2950667224079,0,0
"FGLBJAKE_00592",21373.8840618413,2.90486396465487,0.072837919650039,39.8812044414741,0,0
"FGLBJAKE_00641",4270.10538632795,4.92949159447969,0.0798439476464195,61.7390765335079,0,0
"FGLBJAKE_00642",1715.19265801133,5.1054728596949,0.10477241359791,48.7291710133585,0,0
"FGLBJAKE_00646",6907.59054018722,-2.32709330919467,0.0595146818340267,-39.1011635697629,0,0
"FGLBJAKE_00711",3123.86627019331,5.63726888462447,0.102927380623556,54.7693806106082,0,0
"FGLBJAKE_00712",9744.84066483125,3.47036241523935,0.0588856153985675,58.9339585185651,0,0
"FGLBJAKE_00713",28505.7018301928,3.73169150529405,0.0593010843690605,62.9278797343714,0,0
"FGLBJAKE_00721",7769.28027750006,8.05111195038616,0.202945744522528,39.6712528726732,0,0
"FGLBJAKE_00724",32792.5072404178,5.81691575216216,0.0835800401232633,69.5969485487613,0,0
"FGLBJAKE_00776",14238.8247945465,7.73337765661243,0.0993956175163912,77.8040103763844,0,0
"FGLBJAKE_00790",3413.28830074896,-2.84067418736758,0.0666776832221084,-42.6030727238239,0,0
"FGLBJAKE_00803",7042.81548464853,-3.65636764896452,0.0749128048864766,-48.8083132717485,0,0
"FGLBJAKE_00804",4407.41153837748,-3.26394909784222,0.0687743907677015,-47.4587860598696,0,0
"FGLBJAKE_00809",16846.460146304,2.85156813894518,0.0546267256470288,52.2009713225468,0,0
"FGLBJAKE_00817",2031.37329016302,3.50914703187979,0.0818260208764857,42.8854659470336,0,0
"FGLBJAKE_00848",14177.2969520347,-2.1014185697816,0.0522773445097613,-40.1975002649421,0,0
"FGLBJAKE_00854",12682.9245529289,3.65879490305796,0.0656621921877913,55.7214857005375,0,0
"FGLBJAKE_00877",4853.47624196855,3.04822765459023,0.061122390018982,49.8708845260073,0,0
"FGLBJAKE_00894",2343.39847406447,4.7905996925363,0.104309252125475,45.9268913823066,0,0
"FGLBJAKE_00909",11631.5226098013,5.61244641612786,0.0755455764984608,74.2921912342838,0,0
"FGLBJAKE_00928",2987.85257459421,-3.20867834490748,0.0706781022609776,-45.3984790516799,0,0
"FGLBJAKE_00929",1913.81868507117,-3.08708020195157,0.0778072820873733,-39.675980436959,0,0
"FGLBJAKE_00955",2974.62186246894,-4.95642502810113,0.0959193984638667,-51.6728118344929,0,0
"FGLBJAKE_00956",9626.34693701083,-4.58520556249919,0.0709895501272546,-64.5898664561169,0,0
"FGLBJAKE_00967",2821.06502106592,-3.03126851062649,0.0717730699596849,-42.23406512121,0,0
"FGLBJAKE_00974",6319.28423942681,3.14129561102937,0.0708579062449087,44.3323233426062,0,0
"FGLBJAKE_00976",7522.29663688442,3.16373329424594,0.0766096367890328,41.2968058177617,0,0
"FGLBJAKE_00981",1584.5067184315,3.5724425409393,0.0878168086940976,40.6806236079883,0,0
"FGLBJAKE_00982",14915.2037831684,4.2712582612563,0.0775891719642659,55.0496693433389,0,0
"FGLBJAKE_00986",3549.12567785565,6.97691054241856,0.131862540755259,52.910481645943,0,0
"FGLBJAKE_00988",2400.89920079924,7.00263544765203,0.148984121350075,47.0025623146618,0,0
"FGLBJAKE_00989",3772.37585543339,7.34233332786142,0.134642016194414,54.5322592114159,0,0
"FGLBJAKE_00991",1244.33574806324,5.00150942499367,0.120313601679463,41.5706067741086,0,0
"FGLBJAKE_01031",5031.37807733579,4.65436328341046,0.0735440486296354,63.2867427091162,0,0
"FGLBJAKE_01102",8301.30433508806,-5.50190544047527,0.0716665335014526,-76.7709162375456,0,0
"FGLBJAKE_01103",8978.33313580227,-6.02507442838746,0.101373952730203,-59.4341471958047,0,0
"FGLBJAKE_01104",5529.34176255072,-5.41367758336564,0.0841471755416258,-64.3358205254032,0,0
"FGLBJAKE_01107",2952.50811511286,2.97411600474581,0.0730484195239143,40.7143100991002,0,0
"FGLBJAKE_01110",25892.3384902512,-2.11629419197547,0.0506965043469433,-41.7443809832043,0,0
