"gene","BHI_mean","Serum_mean","HSerum_mean","BHI_norm","Serum_norm","HSerum_norm","any_insertions"
"FGLBJAKE_00085",0,0,0,0,0,0,FALSE
"FGLBJAKE_00086",0,0,0,0,0,0,FALSE
"FGLBJAKE_00087",0,0,0,0,0,0,FALSE
"FGLBJAKE_00088",0,0,0,0,0,0,FALSE
"FGLBJAKE_00089",0,0,0,0,0,0,FALSE
"FGLBJAKE_00090",0,0,0,0,0,0,FALSE
"FGLBJAKE_00091",0,0,0,0,0,0,FALSE
"FGLBJAKE_00092",0,0,0,0,0,0,FALSE
"FGLBJAKE_00093",0,0,0,0,0,0,FALSE
"FGLBJAKE_00094",0.666666666666667,0.666666666666667,0,6.65597273713567,8.1131623890018,0,TRUE
"FGLBJAKE_00095",0,0,17.3333333333333,0,0,171.297180843704,TRUE
"FGLBJAKE_00096",0,0,0,0,0,0,FALSE
"FGLBJAKE_00097",0,0,0,0,0,0,FALSE
"FGLBJAKE_00098",0,0,0,0,0,0,FALSE
"FGLBJAKE_00099",0,0,0,0,0,0,FALSE
"FGLBJAKE_00100",0,0,28,0,0,276.710830593676,TRUE
"FGLBJAKE_00101",61.3333333333333,23.6666666666667,16.6666666666667,612.349491816482,288.017264809564,164.708827734331,TRUE
"FGLBJAKE_00102",10.3333333333333,8.33333333333333,58,103.167577425603,101.414529862522,573.186720515473,TRUE
"FGLBJAKE_00103",1887.66666666667,5894,13732.3333333333,18846.3868051996,71728.4686811649,135710.191523425,TRUE
"FGLBJAKE_00104",0,0,0,0,0,0,FALSE
"FGLBJAKE_00105",0,0,0,0,0,0,FALSE
"FGLBJAKE_00106",68.3333333333333,0,51,682.237205556406,0,504.009012867054,TRUE
"FGLBJAKE_00107",0,0,0,0,0,0,FALSE
"FGLBJAKE_00108",0,0,0,0,0,0,FALSE
"FGLBJAKE_00109",0,0,0,0,0,0,FALSE
"FGLBJAKE_00110",0,0,0,0,0,0,FALSE
"FGLBJAKE_00111",0,0,0,0,0,0,FALSE
"FGLBJAKE_00112",0,0,0,0,0,0,FALSE
"FGLBJAKE_00113",0,0,0,0,0,0,FALSE
"FGLBJAKE_00114",19.6666666666667,0,0,196.351195745502,0,0,TRUE
"FGLBJAKE_00115",0,0,0,0,0,0,FALSE
"FGLBJAKE_00116",0,0,0,0,0,0,FALSE
"FGLBJAKE_00117",0,0,0,0,0,0,FALSE
"FGLBJAKE_00144",0,0.333333333333333,0.333333333333333,0,4.0565811945009,3.29417655468662,TRUE
"FGLBJAKE_00145",0,0,0,0,0,0,FALSE
"FGLBJAKE_00146",0,0,0,0,0,0,FALSE
"FGLBJAKE_00147",0,0,0,0,0,0,FALSE
"FGLBJAKE_00148",0.333333333333333,3.66666666666667,0,3.32798636856783,44.6223931395099,0,TRUE
"FGLBJAKE_00149",93.3333333333333,31.6666666666667,2.33333333333333,931.836183198994,385.375213477585,23.0592358828064,TRUE
"FGLBJAKE_00150",0,0,17.6666666666667,0,0,174.591357398391,TRUE
"FGLBJAKE_00151",0,0,0,0,0,0,FALSE
"FGLBJAKE_00152",7.66666666666667,2.33333333333333,65.6666666666667,76.5436864770602,28.3960683615063,648.952781273265,TRUE
"FGLBJAKE_00153",0,0,0,0,0,0,FALSE
"FGLBJAKE_00154",19.3333333333333,12.3333333333333,0,193.023209376934,150.093504196533,0,TRUE
"FGLBJAKE_00155",0,0,0,0,0,0,FALSE
"FGLBJAKE_00156",0,0,0,0,0,0,FALSE
"FGLBJAKE_00157",0,0,0,0,0,0,FALSE
"FGLBJAKE_00158",0,51.3333333333333,23.6666666666667,0,624.713503953138,233.88653538275,TRUE
"FGLBJAKE_00159",0,0,0,0,0,0,FALSE
"FGLBJAKE_00160",0,0,0,0,0,0,FALSE
"FGLBJAKE_00161",17.6666666666667,1.66666666666667,0,176.383277534095,20.2829059725045,0,TRUE
"FGLBJAKE_00162",31.6666666666667,0,58,316.158705013944,0,573.186720515473,TRUE
"FGLBJAKE_00163",0,0,0,0,0,0,FALSE
"FGLBJAKE_00164",0,0,0,0,0,0,FALSE
"FGLBJAKE_00165",20,32.6666666666667,0,199.67918211407,397.544957061088,0,TRUE
"FGLBJAKE_00166",212,104.666666666667,121,2116.59933040914,1273.76649507328,1195.78608935124,TRUE
"FGLBJAKE_00167",0,0,0,0,0,0,FALSE
"FGLBJAKE_00168",0,0,0,0,0,0,FALSE
"FGLBJAKE_00169",0,14,19.6666666666667,0,170.376410169038,194.356416726511,TRUE
"FGLBJAKE_00170",0,0,0,0,0,0,FALSE
"FGLBJAKE_00171",715.333333333333,571.333333333333,895.666666666667,7141.85874694657,6952.98016737454,8851.45240244296,TRUE
"FGLBJAKE_00172",225.333333333333,113.333333333333,217.666666666667,2249.71878515186,1379.23760613031,2151.09729021037,TRUE
"FGLBJAKE_00173",0,154,0,0,1874.14051185942,0,TRUE
"FGLBJAKE_00174",20.3333333333333,13.3333333333333,44.6666666666667,203.007168482638,162.263247780036,441.419658328008,TRUE
"FGLBJAKE_00175",0,0,0,0,0,0,FALSE
"FGLBJAKE_00176",30.6666666666667,0,0,306.174745908241,0,0,TRUE
"FGLBJAKE_00177",9.33333333333333,4.66666666666667,39,93.1836183198994,56.7921367230126,385.418656898335,TRUE
"FGLBJAKE_00178",120,130,175,1198.07509268442,1582.06666585535,1729.44269121048,TRUE
"FGLBJAKE_00179",0,3.33333333333333,4,0,40.565811945009,39.5301186562395,TRUE
"FGLBJAKE_00180",99,46.6666666666667,31.3333333333333,988.411951464647,567.921367230126,309.652596140543,TRUE
"FGLBJAKE_00181",0,0,0,0,0,0,FALSE
"FGLBJAKE_00182",0,0,0,0,0,0,FALSE
"FGLBJAKE_00183",185.333333333333,139.666666666667,315.333333333333,1850.36042092372,1699.70752049588,3116.29102073355,TRUE
