"gene","BHI_mean","Serum_mean","HSerum_mean","BHI_norm","Serum_norm","HSerum_norm","any_insertions","serum_depleted","bhi_depleted","log2FC_serum","category","gene.y","product","COG"
"FGLBJAKE_00567",26.6666666666667,0,0,266.238909485427,0,0,TRUE,TRUE,FALSE,-8.06198626657969,"Depleted in Serum","gatC_1","PTS system galactitol-specific EIIC component","COG3775"
"FGLBJAKE_00673",26.3333333333333,0,0.333333333333333,262.910923116859,0,3.29417655468662,TRUE,TRUE,FALSE,-8.04390725396826,"Depleted in Serum","ribX","Riboflavin transport system permease protein RibX",""
"FGLBJAKE_01845",26.3333333333333,0,6,262.910923116859,0,59.2951779843592,TRUE,TRUE,FALSE,-8.04390725396826,"Depleted in Serum","gshAB","Glutathione biosynthesis bifunctional protein GshAB","COG1181"
"FGLBJAKE_00722",26,0,0,259.582936748291,0,0,TRUE,TRUE,FALSE,-8.02559880754654,"Depleted in Serum","purH","Bifunctional purine biosynthesis protein PurH",""
"FGLBJAKE_02216",26,0,0,259.582936748291,0,0,TRUE,TRUE,FALSE,-8.02559880754654,"Depleted in Serum","","hypothetical protein",""
"FGLBJAKE_02738",25.3333333333333,0,11.6666666666667,252.926964011155,0,115.296179414032,TRUE,TRUE,FALSE,-7.98826978987909,"Depleted in Serum","mleS","Malolactic enzyme","COG0281"
"FGLBJAKE_01231",25,0,52.3333333333333,249.598977642588,0,517.1857190858,TRUE,TRUE,FALSE,-7.96923671874823,"Depleted in Serum","","hypothetical protein",""
"FGLBJAKE_00841",24.3333333333333,0,0,242.943004905452,0,0,TRUE,TRUE,FALSE,-7.93040030418068,"Depleted in Serum","","Putative pyridoxal phosphate-dependent acyltransferase",""
"FGLBJAKE_01453",23.3333333333333,0,11,232.959045799748,0,108.707826304659,TRUE,TRUE,FALSE,-7.87011219995679,"Depleted in Serum","bglF_1","PTS system beta-glucoside-specific EIIBCA component","COG1263"
"FGLBJAKE_01060",22.6666666666667,0,25.6666666666667,226.303073062613,0,253.65159471087,TRUE,TRUE,FALSE,-7.82847337882367,"Depleted in Serum","ydcF","Protein YdcF","COG1434"
"FGLBJAKE_01885",22.6666666666667,0,0,226.303073062613,0,0,TRUE,TRUE,FALSE,-7.82847337882367,"Depleted in Serum","","hypothetical protein",""
"FGLBJAKE_00077",22,0,0,219.647100325477,0,0,TRUE,TRUE,FALSE,-7.78559697777051,"Depleted in Serum","purR_1","Pur operon repressor","COG0503"
"FGLBJAKE_01282",21.6666666666667,0,0,216.319113956909,0,0,TRUE,TRUE,FALSE,-7.76367125982142,"Depleted in Serum","baiN","3-dehydro-bile acid delta(4,6)-reductase","COG2081"
"FGLBJAKE_01930",21.6666666666667,0,0,216.319113956909,0,0,TRUE,TRUE,FALSE,-7.76367125982142,"Depleted in Serum","opuCD","Glycine betaine/carnitine/choline transport system permease protein OpuCD","COG1174"
"FGLBJAKE_02737",21.6666666666667,0,10,216.319113956909,0,98.8252966405987,TRUE,TRUE,FALSE,-7.76367125982142,"Depleted in Serum","citS","Citrate-sodium symporter","COG3493"
"FGLBJAKE_01066",20.6666666666667,0,0,206.335154851206,0,0,TRUE,TRUE,FALSE,-7.69582094408754,"Depleted in Serum","tcyP","L-cystine uptake protein TcyP","COG1823"
"FGLBJAKE_02784",20.6666666666667,0,0,206.335154851206,0,0,TRUE,TRUE,FALSE,-7.69582094408754,"Depleted in Serum","","hypothetical protein",""
"FGLBJAKE_00588",20.3333333333333,0,0,203.007168482638,0,0,TRUE,TRUE,FALSE,-7.67247603683743,"Depleted in Serum","","hypothetical protein",""
"FGLBJAKE_00080",20,0,0,199.67918211407,0,0,TRUE,TRUE,FALSE,-7.64874715316906,"Depleted in Serum","thiT","Thiamine transporter ThiT",""
"FGLBJAKE_00114",19.6666666666667,0,0,196.351195745502,0,0,TRUE,TRUE,FALSE,-7.62462145028205,"Depleted in Serum","hslO","33 kDa chaperonin","COG1281"
"FGLBJAKE_00757",19.6666666666667,0,5.66666666666667,196.351195745502,0,56.0010014296726,TRUE,TRUE,FALSE,-7.62462145028205,"Depleted in Serum","","hypothetical protein",""
"FGLBJAKE_00934",19.6666666666667,0,0,196.351195745502,0,0,TRUE,TRUE,FALSE,-7.62462145028205,"Depleted in Serum","yecS_1","L-cystine transport system permease protein YecS","COG0765"
"FGLBJAKE_01076",19.6666666666667,0,34.3333333333333,196.351195745502,0,339.300185132722,TRUE,TRUE,FALSE,-7.62462145028205,"Depleted in Serum","lacF_2","Lactose transport system permease protein LacF",""
"FGLBJAKE_00921",19.3333333333333,0,20.3333333333333,193.023209376934,0,200.944769835884,TRUE,TRUE,FALSE,-7.60008543007484,"Depleted in Serum","ygaZ_2","Inner membrane protein YgaZ","COG1296"
"FGLBJAKE_01332",19.3333333333333,0,3.33333333333333,193.023209376934,0,32.9417655468663,TRUE,TRUE,FALSE,-7.60008543007484,"Depleted in Serum","manX_2","PTS system mannose-specific EIIAB component","COG2893"
"FGLBJAKE_00489",18,0,0,179.711263902663,0,0,TRUE,TRUE,FALSE,-7.49754262331565,"Depleted in Serum","helD_1","DNA helicase IV","COG3973"
"FGLBJAKE_01028",17.6666666666667,0,0,176.383277534095,0,0,TRUE,TRUE,FALSE,-7.47072619853554,"Depleted in Serum","","hypothetical protein",""
"FGLBJAKE_01871",17.6666666666667,0,0,176.383277534095,0,0,TRUE,TRUE,FALSE,-7.47072619853554,"Depleted in Serum","","hypothetical protein",""
"FGLBJAKE_02107",17.6666666666667,0,10.6666666666667,176.383277534095,0,105.413649749972,TRUE,TRUE,FALSE,-7.47072619853554,"Depleted in Serum","rbsK","Ribokinase",""
"FGLBJAKE_00763",17.3333333333333,0,0,173.055291165527,0,0,TRUE,TRUE,FALSE,-7.4434018614763,"Depleted in Serum","dinG_1","3'-5' exonuclease DinG",""
"FGLBJAKE_02112",17,0,0,169.72730479696,0,0,TRUE,TRUE,FALSE,-7.41555000001462,"Depleted in Serum","treA","Trehalose-6-phosphate hydrolase","COG0366"
"FGLBJAKE_00990",16.3333333333333,0,0,163.071332059824,0,0,TRUE,TRUE,FALSE,-7.35817937068472,"Depleted in Serum","yidA_1","Sugar phosphatase YidA","COG0561"
"FGLBJAKE_01519",16.3333333333333,0,7,163.071332059824,0,69.1777076484191,TRUE,TRUE,FALSE,-7.35817937068472,"Depleted in Serum","","hypothetical protein",""
"FGLBJAKE_00815",16,0,11,159.743345691256,0,108.707826304659,TRUE,TRUE,FALSE,-7.32861520516974,"Depleted in Serum","","hypothetical protein",""
"FGLBJAKE_02994",16,0,0,159.743345691256,0,0,TRUE,TRUE,FALSE,-7.32861520516974,"Depleted in Serum","","hypothetical protein",""
"FGLBJAKE_00825",15,0,0,149.759386585553,0,0,TRUE,TRUE,FALSE,-7.23610401981944,"Depleted in Serum","nox_1","NADH oxidase","COG0446"
"FGLBJAKE_01704",14.6666666666667,0,15,146.431400216985,0,148.237944960898,TRUE,TRUE,FALSE,-7.20390001483759,"Depleted in Serum","clpC","Negative regulator of genetic competence ClpC/MecB","COG0542"
"FGLBJAKE_02281",13.6666666666667,0,0,136.447441111281,0,0,TRUE,TRUE,FALSE,-7.10273623791021,"Depleted in Serum","metQ_2","D-methionine-binding lipoprotein MetQ","COG1464"
"FGLBJAKE_02346",13.6666666666667,0,0,136.447441111281,0,0,TRUE,TRUE,FALSE,-7.10273623791021,"Depleted in Serum","xerC_11","Tyrosine recombinase XerC",""
"FGLBJAKE_03060",13.3333333333333,0,0,133.119454742713,0,0,TRUE,TRUE,FALSE,-7.06737471281191,"Depleted in Serum","","hypothetical protein",""
"FGLBJAKE_00456",12.6666666666667,0,0.333333333333333,126.463482005578,0,3.29417655468662,TRUE,TRUE,FALSE,-6.99394016724548,"Depleted in Serum","prfC","Peptide chain release factor 3",""
"FGLBJAKE_02602",12.3333333333333,0,0,123.13549563701,0,0,TRUE,TRUE,FALSE,-6.95577189232853,"Depleted in Serum","metG","Methionine--tRNA ligase",""
