"gene","BHI_mean","Serum_mean","HSerum_mean","BHI_norm","Serum_norm","HSerum_norm","any_insertions","serum_depleted","bhi_depleted","log2FC_serum","category"
"FGLBJAKE_00008",26.3333333333333,43.3333333333333,64.3333333333333,262.910923116859,527.355555285117,635.776075054519,TRUE,FALSE,FALSE,1.00145804950222,"Present in both"
"FGLBJAKE_00012",206.666666666667,169.333333333333,72,2063.35154851206,2060.74324680646,711.542135812311,TRUE,FALSE,FALSE,-0.00182399320603322,"Present in both"
"FGLBJAKE_00014",154.333333333333,64.6666666666667,278,1540.85768864691,786.976751733174,2747.34324660865,TRUE,FALSE,FALSE,-0.968444642108727,"Present in both"
"FGLBJAKE_00016",80,19,83.3333333333333,798.71672845628,231.225128086551,823.544138671656,TRUE,FALSE,FALSE,-1.78396497797073,"Present in both"
"FGLBJAKE_00020",0,0,0.666666666666667,0,0,6.58835310937325,TRUE,FALSE,FALSE,0,"Present in both"
"FGLBJAKE_00022",0,13,17.3333333333333,0,158.206666585535,171.297180843704,TRUE,FALSE,TRUE,7.31475693802136,"Depleted in BHI"
"FGLBJAKE_00023",21.3333333333333,13.3333333333333,99.6666666666667,212.991127588341,162.263247780036,984.958789851301,TRUE,FALSE,FALSE,-0.39035091934102,"Present in both"
"FGLBJAKE_00025",28.6666666666667,88.6666666666667,88.6666666666667,286.206827696834,1079.05059773724,876.250963546642,TRUE,FALSE,FALSE,1.91093694920374,"Present in both"
"FGLBJAKE_00027",19.6666666666667,40.6666666666667,58.3333333333333,196.351195745502,494.90290572911,576.480897070159,TRUE,FALSE,FALSE,1.32929241829978,"Present in both"
"FGLBJAKE_00031",28.3333333333333,44.6666666666667,51,282.878841328266,543.58188006312,504.009012867054,TRUE,FALSE,FALSE,0.939873657216097,"Present in both"
"FGLBJAKE_00035",103.333333333333,173,141,1031.67577425603,2105.36563994597,1393.43668263244,TRUE,FALSE,FALSE,1.02836852557085,"Present in both"
"FGLBJAKE_00037",0,0,30.6666666666667,0,0,303.064243031169,TRUE,FALSE,FALSE,0,"Present in both"
"FGLBJAKE_00042",2.33333333333333,1,0,23.2959045799748,12.1697435835027,0,TRUE,FALSE,FALSE,-0.883485891150161,"Present in both"
"FGLBJAKE_00045",0,77.6666666666667,40.3333333333333,0,945.183418318709,398.595363117082,TRUE,FALSE,TRUE,9.88597606789446,"Depleted in BHI"
"FGLBJAKE_00046",11.6666666666667,2.33333333333333,27,116.479522899874,28.3960683615063,266.828300929617,TRUE,FALSE,FALSE,-1.99871419499034,"Present in both"
"FGLBJAKE_00049",5.33333333333333,6,14.6666666666667,53.2477818970853,73.0184615010162,144.943768406211,TRUE,FALSE,FALSE,0.44832099971421,"Present in both"
"FGLBJAKE_00051",0,0,1.33333333333333,0,0,13.1767062187465,TRUE,FALSE,FALSE,0,"Present in both"
"FGLBJAKE_00052",458.666666666667,173.666666666667,489.666666666667,4579.30924314934,2113.47880233497,4839.14535883465,TRUE,FALSE,FALSE,-1.11514290887978,"Present in both"
"FGLBJAKE_00054",1.66666666666667,0,0,16.6399318428392,0,0,TRUE,FALSE,FALSE,-4.14077308150911,"Present in both"
"FGLBJAKE_00059",0,4.66666666666667,0,0,56.7921367230126,0,TRUE,FALSE,TRUE,5.85280130591018,"Depleted in BHI"
"FGLBJAKE_00064",126.333333333333,20.6666666666667,82,1261.30683368721,251.508034059056,810.36743245291,TRUE,FALSE,FALSE,-2.32166143827986,"Present in both"
"FGLBJAKE_00072",295,342,341,2945.26793618253,4162.05230555792,3369.94261544442,TRUE,FALSE,FALSE,0.498753048659766,"Present in both"
"FGLBJAKE_00073",132.666666666667,97.3333333333333,195.333333333333,1324.53857469,1184.52170879426,1930.38746104636,TRUE,FALSE,FALSE,-0.161056573783206,"Present in both"
"FGLBJAKE_00077",22,0,0,219.647100325477,0,0,TRUE,TRUE,FALSE,-7.78559697777051,"Depleted in Serum"
"FGLBJAKE_00078",0,0,21.3333333333333,0,0,210.827299499944,TRUE,FALSE,FALSE,0,"Present in both"
"FGLBJAKE_00080",20,0,0,199.67918211407,0,0,TRUE,TRUE,FALSE,-7.64874715316906,"Depleted in Serum"
"FGLBJAKE_00082",88,10.6666666666667,68.6666666666667,878.588401301908,129.810598224029,678.600370265445,TRUE,FALSE,FALSE,-2.74934914804588,"Present in both"
"FGLBJAKE_00084",204,77.6666666666667,169.666666666667,2036.72765756351,945.183418318709,1676.73586633549,TRUE,FALSE,FALSE,-1.10676946486733,"Present in both"
"FGLBJAKE_00094",0.666666666666667,0.666666666666667,0,6.65597273713567,8.1131623890018,0,TRUE,FALSE,FALSE,0.251366082942428,"Present in both"
"FGLBJAKE_00095",0,0,17.3333333333333,0,0,171.297180843704,TRUE,FALSE,FALSE,0,"Present in both"
"FGLBJAKE_00100",0,0,28,0,0,276.710830593676,TRUE,FALSE,FALSE,0,"Present in both"
"FGLBJAKE_00101",61.3333333333333,23.6666666666667,16.6666666666667,612.349491816482,288.017264809564,164.708827734331,TRUE,FALSE,FALSE,-1.08555369175625,"Present in both"
"FGLBJAKE_00102",10.3333333333333,8.33333333333333,58,103.167577425603,101.414529862522,573.186720515473,TRUE,FALSE,FALSE,-0.0244858934778959,"Present in both"
"FGLBJAKE_00103",1887.66666666667,5894,13732.3333333333,18846.3868051996,71728.4686811649,135710.191523425,TRUE,FALSE,FALSE,1.92820143705407,"Present in both"
"FGLBJAKE_00106",68.3333333333333,0,51,682.237205556406,0,504.009012867054,TRUE,TRUE,FALSE,-9.41624272856543,"Depleted in Serum"
"FGLBJAKE_00114",19.6666666666667,0,0,196.351195745502,0,0,TRUE,TRUE,FALSE,-7.62462145028205,"Depleted in Serum"
"FGLBJAKE_00144",0,0.333333333333333,0.333333333333333,0,4.0565811945009,3.29417655468662,TRUE,FALSE,FALSE,2.33816229386219,"Present in both"
"FGLBJAKE_00148",0.333333333333333,3.66666666666667,0,3.32798636856783,44.6223931395099,0,TRUE,FALSE,FALSE,3.39797426536692,"Present in both"
"FGLBJAKE_00149",93.3333333333333,31.6666666666667,2.33333333333333,931.836183198994,385.375213477585,23.0592358828064,TRUE,FALSE,FALSE,-1.27162120322647,"Present in both"
"FGLBJAKE_00150",0,0,17.6666666666667,0,0,174.591357398391,TRUE,FALSE,FALSE,0,"Present in both"
"FGLBJAKE_00152",7.66666666666667,2.33333333333333,65.6666666666667,76.5436864770602,28.3960683615063,648.952781273265,TRUE,FALSE,FALSE,-1.39938611166984,"Present in both"
"FGLBJAKE_00154",19.3333333333333,12.3333333333333,0,193.023209376934,150.093504196533,0,TRUE,FALSE,FALSE,-0.360787602728507,"Present in both"
"FGLBJAKE_00158",0,51.3333333333333,23.6666666666667,0,624.713503953138,233.88653538275,TRUE,FALSE,TRUE,9.2893584299411,"Depleted in BHI"
"FGLBJAKE_00161",17.6666666666667,1.66666666666667,0,176.383277534095,20.2829059725045,0,TRUE,FALSE,FALSE,-3.05910295347213,"Present in both"
"FGLBJAKE_00162",31.6666666666667,0,58,316.158705013944,0,573.186720515473,TRUE,TRUE,FALSE,-8.30906112995307,"Depleted in Serum"
"FGLBJAKE_00165",20,32.6666666666667,0,199.67918211407,397.544957061088,0,TRUE,FALSE,FALSE,0.989851510308947,"Present in both"
"FGLBJAKE_00166",212,104.666666666667,121,2116.59933040914,1273.76649507328,1195.78608935124,TRUE,FALSE,FALSE,-0.732196637659252,"Present in both"
"FGLBJAKE_00169",0,14,19.6666666666667,0,170.376410169038,194.356416726511,TRUE,FALSE,TRUE,7.42102472702945,"Depleted in BHI"
"FGLBJAKE_00171",715.333333333333,571.333333333333,895.666666666667,7141.85874694657,6952.98016737454,8851.45240244296,TRUE,FALSE,FALSE,-0.0386626391754579,"Present in both"
"FGLBJAKE_00172",225.333333333333,113.333333333333,217.666666666667,2249.71878515186,1379.23760613031,2151.09729021037,TRUE,FALSE,FALSE,-0.705469164815585,"Present in both"
"FGLBJAKE_00173",0,154,0,0,1874.14051185942,0,TRUE,FALSE,TRUE,10.8727829912932,"Depleted in BHI"
"FGLBJAKE_00174",20.3333333333333,13.3333333333333,44.6666666666667,203.007168482638,162.263247780036,441.419658328008,TRUE,FALSE,FALSE,-0.321419784962607,"Present in both"
"FGLBJAKE_00176",30.6666666666667,0,0,306.174745908241,0,0,TRUE,TRUE,FALSE,-8.26291580085139,"Depleted in Serum"
"FGLBJAKE_00177",9.33333333333333,4.66666666666667,39,93.1836183198994,56.7921367230126,385.418656898335,TRUE,FALSE,FALSE,-0.704602937733765,"Present in both"
"FGLBJAKE_00178",120,130,175,1198.07509268442,1582.06666585535,1729.44269121048,TRUE,FALSE,FALSE,0.400800000213554,"Present in both"
"FGLBJAKE_00179",0,3.33333333333333,4,0,40.565811945009,39.5301186562395,TRUE,FALSE,TRUE,5.37732548825383,"Depleted in BHI"
"FGLBJAKE_00180",99,46.6666666666667,31.3333333333333,988.411951464647,567.921367230126,309.652596140543,TRUE,FALSE,FALSE,-0.798342060454072,"Present in both"
"FGLBJAKE_00183",185.333333333333,139.666666666667,315.333333333333,1850.36042092372,1699.70752049588,3116.29102073355,TRUE,FALSE,FALSE,-0.122450730348146,"Present in both"
"FGLBJAKE_00185",72.6666666666667,20,51.6666666666667,725.501028347788,243.394871670054,510.597365976427,TRUE,FALSE,FALSE,-1.57175082769703,"Present in both"
"FGLBJAKE_00188",39.3333333333333,16,1,392.702391491004,194.715897336043,9.88252966405988,TRUE,FALSE,FALSE,-1.00834453004519,"Present in both"
"FGLBJAKE_00191",62,4.66666666666667,15.3333333333333,619.005464553617,56.7921367230126,151.532121515585,TRUE,FALSE,FALSE,-3.42333581492802,"Present in both"
"FGLBJAKE_00195",257.666666666667,87,123.333333333333,2572.53346290294,1058.76769176473,1218.84532523405,TRUE,FALSE,FALSE,-1.28000249065909,"Present in both"
"FGLBJAKE_00196",53,30.6666666666667,68.3333333333333,529.149832602286,373.205469894083,675.306193710758,TRUE,FALSE,FALSE,-0.502569509167514,"Present in both"
"FGLBJAKE_00200",290.666666666667,302,255.333333333333,2902.00411339115,3675.26256221781,2523.33924088995,TRUE,FALSE,FALSE,0.34069319279537,"Present in both"
"FGLBJAKE_00201",156,7,41.3333333333333,1557.49762048975,85.1882050845189,408.477892781142,TRUE,FALSE,FALSE,-4.17652169302814,"Present in both"
"FGLBJAKE_00202",246.666666666667,332.333333333333,208,2462.7099127402,4044.4114509174,2055.56617012445,TRUE,FALSE,FALSE,0.715454046589069,"Present in both"
"FGLBJAKE_00204",0.333333333333333,0,0,3.32798636856783,0,0,TRUE,FALSE,FALSE,-2.11369595525748,"Present in both"
