"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006753","GO:0006753","25/146","97/986",0.257731958762887,1.74057336534388,3.20079585076468,0.00202134623815565,0.0302480026352577,0.02705260378885,"FGLBJAKE_00711/FGLBJAKE_00713/FGLBJAKE_00721/FGLBJAKE_00716/FGLBJAKE_02275/FGLBJAKE_00720/FGLBJAKE_01744/FGLBJAKE_00723/FGLBJAKE_00722/FGLBJAKE_00719/FGLBJAKE_00709/FGLBJAKE_00715/FGLBJAKE_01718/FGLBJAKE_00718/FGLBJAKE_00717/FGLBJAKE_00864/FGLBJAKE_00865/FGLBJAKE_00862/FGLBJAKE_00859/FGLBJAKE_00867/FGLBJAKE_01118/FGLBJAKE_00869/FGLBJAKE_00866/FGLBJAKE_00863/FGLBJAKE_00861",25
"GO:0009117","GO:0009117","25/146","97/986",0.257731958762887,1.74057336534388,3.20079585076468,0.00202134623815565,0.0302480026352577,0.02705260378885,"FGLBJAKE_00711/FGLBJAKE_00713/FGLBJAKE_00721/FGLBJAKE_00716/FGLBJAKE_02275/FGLBJAKE_00720/FGLBJAKE_01744/FGLBJAKE_00723/FGLBJAKE_00722/FGLBJAKE_00719/FGLBJAKE_00709/FGLBJAKE_00715/FGLBJAKE_01718/FGLBJAKE_00718/FGLBJAKE_00717/FGLBJAKE_00864/FGLBJAKE_00865/FGLBJAKE_00862/FGLBJAKE_00859/FGLBJAKE_00867/FGLBJAKE_01118/FGLBJAKE_00869/FGLBJAKE_00866/FGLBJAKE_00863/FGLBJAKE_00861",25
"GO:0009127","GO:0009127","14/146","43/986",0.325581395348837,2.19878942338324,3.34947070820422,0.00213910861276065,0.0309064313360935,0.0276414760850378,"FGLBJAKE_00711/FGLBJAKE_00713/FGLBJAKE_00721/FGLBJAKE_00716/FGLBJAKE_00720/FGLBJAKE_01744/FGLBJAKE_00723/FGLBJAKE_00722/FGLBJAKE_00719/FGLBJAKE_00709/FGLBJAKE_00715/FGLBJAKE_01718/FGLBJAKE_00718/FGLBJAKE_00717",14
"GO:0009168","GO:0009168","14/146","43/986",0.325581395348837,2.19878942338324,3.34947070820422,0.00213910861276065,0.0309064313360935,0.0276414760850378,"FGLBJAKE_00711/FGLBJAKE_00713/FGLBJAKE_00721/FGLBJAKE_00716/FGLBJAKE_00720/FGLBJAKE_01744/FGLBJAKE_00723/FGLBJAKE_00722/FGLBJAKE_00719/FGLBJAKE_00709/FGLBJAKE_00715/FGLBJAKE_01718/FGLBJAKE_00718/FGLBJAKE_00717",14
"GO:0072527","GO:0072527","10/146","26/986",0.384615384615385,2.59747102212856,3.43984557673512,0.00237180967838797,0.0329845209488983,0.0295000363215872,"FGLBJAKE_02275/FGLBJAKE_00864/FGLBJAKE_00865/FGLBJAKE_00862/FGLBJAKE_00859/FGLBJAKE_00867/FGLBJAKE_00869/FGLBJAKE_00866/FGLBJAKE_00863/FGLBJAKE_00861",10
"GO:0009116","GO:0009116","13/146","39/986",0.333333333333333,2.25114155251142,3.32214559772627,0.00244038221817625,0.0329845209488983,0.0295000363215872,"FGLBJAKE_02275/FGLBJAKE_00719/FGLBJAKE_00709/FGLBJAKE_01718/FGLBJAKE_00864/FGLBJAKE_00865/FGLBJAKE_00862/FGLBJAKE_00859/FGLBJAKE_00867/FGLBJAKE_00869/FGLBJAKE_00866/FGLBJAKE_00863/FGLBJAKE_00861",13
"GO:1901605","GO:1901605","13/146","39/986",0.333333333333333,2.25114155251142,3.32214559772627,0.00244038221817625,0.0329845209488983,0.0295000363215872,"FGLBJAKE_02130/FGLBJAKE_02131/FGLBJAKE_02664/FGLBJAKE_02132/FGLBJAKE_02135/FGLBJAKE_02133/FGLBJAKE_02136/FGLBJAKE_00719/FGLBJAKE_02134/FGLBJAKE_02163/FGLBJAKE_00717/FGLBJAKE_00864/FGLBJAKE_00863",13
"GO:1901657","GO:1901657","13/146","39/986",0.333333333333333,2.25114155251142,3.32214559772627,0.00244038221817625,0.0329845209488983,0.0295000363215872,"FGLBJAKE_02275/FGLBJAKE_00719/FGLBJAKE_00709/FGLBJAKE_01718/FGLBJAKE_00864/FGLBJAKE_00865/FGLBJAKE_00862/FGLBJAKE_00859/FGLBJAKE_00867/FGLBJAKE_00869/FGLBJAKE_00866/FGLBJAKE_00863/FGLBJAKE_00861",13
"GO:0015698","GO:0015698","5/146","8/986",0.625,4.2208904109589,3.81159206930723,0.00256594771426974,0.0341311775326673,0.0305255601096082,"FGLBJAKE_02964/FGLBJAKE_02835/FGLBJAKE_02837/FGLBJAKE_02836/FGLBJAKE_02960",5
"GO:0072521","GO:0072521","18/146","63/986",0.285714285714286,1.92954990215264,3.17758395452082,0.00269446854467383,0.0347732546471773,0.0310998082009675,"FGLBJAKE_00219/FGLBJAKE_00711/FGLBJAKE_00713/FGLBJAKE_00721/FGLBJAKE_00716/FGLBJAKE_02275/FGLBJAKE_00720/FGLBJAKE_01744/FGLBJAKE_00723/FGLBJAKE_00722/FGLBJAKE_00719/FGLBJAKE_00709/FGLBJAKE_00715/FGLBJAKE_01718/FGLBJAKE_00718/FGLBJAKE_00717/FGLBJAKE_00862/FGLBJAKE_01118",18
