"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"ko03010","ko03010","48/221","59/889",0.813559322033898,3.27264360763862,10.3856261146275,3.27420699805261e-21,3.60162769785787e-19,3.10188031394458e-19,"FGLBJAKE_00285/FGLBJAKE_00286/FGLBJAKE_00287/FGLBJAKE_00288/FGLBJAKE_01172/FGLBJAKE_01669/FGLBJAKE_01670/FGLBJAKE_01783/FGLBJAKE_01787/FGLBJAKE_01792/FGLBJAKE_01793/FGLBJAKE_01797/FGLBJAKE_01798/FGLBJAKE_01799/FGLBJAKE_01800/FGLBJAKE_01801/FGLBJAKE_01803/FGLBJAKE_01804/FGLBJAKE_01805/FGLBJAKE_01806/FGLBJAKE_01812/FGLBJAKE_01813/FGLBJAKE_01815/FGLBJAKE_02398/FGLBJAKE_01807/FGLBJAKE_01964/FGLBJAKE_01963/FGLBJAKE_01802/FGLBJAKE_01784/FGLBJAKE_01791/FGLBJAKE_01869/FGLBJAKE_01789/FGLBJAKE_01795/FGLBJAKE_01811/FGLBJAKE_01790/FGLBJAKE_01794/FGLBJAKE_00756/FGLBJAKE_02356/FGLBJAKE_01738/FGLBJAKE_01796/FGLBJAKE_02400/FGLBJAKE_01788/FGLBJAKE_01202/FGLBJAKE_02972/FGLBJAKE_02977/FGLBJAKE_01740/FGLBJAKE_01731/FGLBJAKE_01898",48
"ko01212","ko01212","12/221","13/889",0.923076923076923,3.71319178558998,5.66519032896626,4.49064092701575e-07,2.46985250985866e-05,2.12714570227062e-05,"FGLBJAKE_00468/FGLBJAKE_00470/FGLBJAKE_00471/FGLBJAKE_00472/FGLBJAKE_00473/FGLBJAKE_00474/FGLBJAKE_00475/FGLBJAKE_00476/FGLBJAKE_00477/FGLBJAKE_00803/FGLBJAKE_00804/FGLBJAKE_00585",12
"ko00061","ko00061","11/221","13/889",0.846153846153846,3.40375913679081,5.01908972570122,8.80581855942711e-06,0.000322880013845661,0.000278078480824014,"FGLBJAKE_00468/FGLBJAKE_00470/FGLBJAKE_00471/FGLBJAKE_00472/FGLBJAKE_00473/FGLBJAKE_00474/FGLBJAKE_00475/FGLBJAKE_00476/FGLBJAKE_00477/FGLBJAKE_00803/FGLBJAKE_00804",11
"ko01130","ko01130","45/221","127/889",0.354330708661417,1.42533936651584,2.97628381874328,0.00263647715573525,0.0600534314069162,0.0517206586279661,"FGLBJAKE_00470/FGLBJAKE_00471/FGLBJAKE_00473/FGLBJAKE_00475/FGLBJAKE_00476/FGLBJAKE_00477/FGLBJAKE_00803/FGLBJAKE_00967/FGLBJAKE_01809/FGLBJAKE_02353/FGLBJAKE_01302/FGLBJAKE_00733/FGLBJAKE_00104/FGLBJAKE_02127/FGLBJAKE_01958/FGLBJAKE_00734/FGLBJAKE_01193/FGLBJAKE_02128/FGLBJAKE_00502/FGLBJAKE_00585/FGLBJAKE_02790/FGLBJAKE_00420/FGLBJAKE_00421/FGLBJAKE_01087/FGLBJAKE_01957/FGLBJAKE_01780/FGLBJAKE_00406/FGLBJAKE_01179/FGLBJAKE_00584/FGLBJAKE_00503/FGLBJAKE_00735/FGLBJAKE_01115/FGLBJAKE_01081/FGLBJAKE_02788/FGLBJAKE_00409/FGLBJAKE_01083/FGLBJAKE_01084/FGLBJAKE_01085/FGLBJAKE_01956/FGLBJAKE_01086/FGLBJAKE_00736/FGLBJAKE_01082/FGLBJAKE_02773/FGLBJAKE_01676/FGLBJAKE_02146",45
"ko00640","ko00640","9/221","15/889",0.6,2.41357466063348,3.17411789265433,0.0037283424022283,0.0600534314069162,0.0517206586279661,"FGLBJAKE_00228/FGLBJAKE_00473/FGLBJAKE_00475/FGLBJAKE_00476/FGLBJAKE_00477/FGLBJAKE_00104/FGLBJAKE_02311/FGLBJAKE_00585/FGLBJAKE_00736",9
"ko00471","ko00471","4/221","4/889",1,4.02262443438914,3.48302777417149,0.00374148057230731,0.0600534314069162,0.0517206586279661,"FGLBJAKE_01059/FGLBJAKE_02426/FGLBJAKE_00797/FGLBJAKE_00969",4
"ko05230","ko05230","6/221","8/889",0.75,3.01696832579186,3.29435582665042,0.0039347555941801,0.0600534314069162,0.0517206586279661,"FGLBJAKE_00733/FGLBJAKE_00734/FGLBJAKE_00502/FGLBJAKE_01780/FGLBJAKE_00503/FGLBJAKE_00969",6
"ko00970","ko00970","13/221","26/889",0.5,2.01131221719457,3.00871407988064,0.00436752228413936,0.0600534314069162,0.0517206586279661,"FGLBJAKE_00790/FGLBJAKE_00848/FGLBJAKE_02435/FGLBJAKE_02881/FGLBJAKE_02882/FGLBJAKE_00492/FGLBJAKE_00791/FGLBJAKE_00155/FGLBJAKE_00242/FGLBJAKE_00056/FGLBJAKE_00792/FGLBJAKE_00116/FGLBJAKE_00243",13
"ko00400","ko00400","7/221","11/889",0.636363636363636,2.55985191279309,2.99258739926488,0.00697291462092382,0.0852245120335133,0.0733991012728823,"FGLBJAKE_01087/FGLBJAKE_01081/FGLBJAKE_01083/FGLBJAKE_01084/FGLBJAKE_01085/FGLBJAKE_01086/FGLBJAKE_01082",7
