"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"ko02060","ko02060","29/165","84/889",0.345238095238095,1.86010101010101,3.95248592848676,0.000181252560829301,0.014500204866344,0.01335545185058,"FGLBJAKE_01453/FGLBJAKE_02443/FGLBJAKE_00557/FGLBJAKE_01435/FGLBJAKE_02444/FGLBJAKE_01437/FGLBJAKE_02445/FGLBJAKE_02403/FGLBJAKE_01438/FGLBJAKE_02402/FGLBJAKE_01436/FGLBJAKE_00165/FGLBJAKE_00319/FGLBJAKE_02263/FGLBJAKE_02105/FGLBJAKE_00893/FGLBJAKE_02338/FGLBJAKE_02260/FGLBJAKE_00892/FGLBJAKE_02616/FGLBJAKE_02551/FGLBJAKE_02617/FGLBJAKE_00530/FGLBJAKE_02557/FGLBJAKE_01450/FGLBJAKE_00528/FGLBJAKE_02618/FGLBJAKE_00566/FGLBJAKE_00167",29
"ko00300","ko00300","8/165","13/889",0.615384615384615,3.31561771561772,4.01296764723028,0.000666498955908994,0.0266599582363598,0.024555224691384,"FGLBJAKE_02130/FGLBJAKE_02131/FGLBJAKE_02132/FGLBJAKE_02135/FGLBJAKE_02133/FGLBJAKE_02136/FGLBJAKE_02138/FGLBJAKE_02134",8
"ko00261","ko00261","4/165","4/889",1,5.38787878787879,4.19654760643147,0.00115175032305606,0.0307133419481616,0.0282886044259383,"FGLBJAKE_02132/FGLBJAKE_02135/FGLBJAKE_02133/FGLBJAKE_02136",4
"ko02010","ko02010","33/165","112/889",0.294642857142857,1.5875,3.17311304696819,0.00178554371084812,0.0357108742169624,0.032891594673518,"FGLBJAKE_00592/FGLBJAKE_01200/FGLBJAKE_01847/FGLBJAKE_01848/FGLBJAKE_01849/FGLBJAKE_01850/FGLBJAKE_01868/FGLBJAKE_02593/FGLBJAKE_02595/FGLBJAKE_02596/FGLBJAKE_02597/FGLBJAKE_02598/FGLBJAKE_02609/FGLBJAKE_02860/FGLBJAKE_02861/FGLBJAKE_00943/FGLBJAKE_02289/FGLBJAKE_02775/FGLBJAKE_02106/FGLBJAKE_01836/FGLBJAKE_02835/FGLBJAKE_02837/FGLBJAKE_02836/FGLBJAKE_02960/FGLBJAKE_00934/FGLBJAKE_00935/FGLBJAKE_02832/FGLBJAKE_00014/FGLBJAKE_01933/FGLBJAKE_01354/FGLBJAKE_01664/FGLBJAKE_01504/FGLBJAKE_02180",33
"ko01120","ko01120","35/165","126/889",0.277777777777778,1.496632996633,2.87103010524931,0.00400915925657483,0.0641465481051973,0.0590823469389975,"FGLBJAKE_00809/FGLBJAKE_00854/FGLBJAKE_01152/FGLBJAKE_01941/FGLBJAKE_02130/FGLBJAKE_02131/FGLBJAKE_01156/FGLBJAKE_00557/FGLBJAKE_02910/FGLBJAKE_02132/FGLBJAKE_02135/FGLBJAKE_02133/FGLBJAKE_01155/FGLBJAKE_02136/FGLBJAKE_00823/FGLBJAKE_00911/FGLBJAKE_02403/FGLBJAKE_01378/FGLBJAKE_01157/FGLBJAKE_02134/FGLBJAKE_00820/FGLBJAKE_02164/FGLBJAKE_02610/FGLBJAKE_02402/FGLBJAKE_01950/FGLBJAKE_00936/FGLBJAKE_01951/FGLBJAKE_02159/FGLBJAKE_02263/FGLBJAKE_00893/FGLBJAKE_01268/FGLBJAKE_00892/FGLBJAKE_00691/FGLBJAKE_01974/FGLBJAKE_01011",35
"ko01501","ko01501","7/165","14/889",0.5,2.69393939393939,3.04815488730091,0.00716550803118057,0.092257401256784,0.0849739222101958,"FGLBJAKE_02593/FGLBJAKE_02595/FGLBJAKE_02596/FGLBJAKE_02597/FGLBJAKE_02598/FGLBJAKE_02854/FGLBJAKE_01836",7
"ko00230","ko00230","19/165","60/889",0.316666666666667,1.70616161616162,2.70259917182721,0.0080725226099686,0.092257401256784,0.0849739222101958,"FGLBJAKE_00219/FGLBJAKE_00711/FGLBJAKE_00712/FGLBJAKE_00713/FGLBJAKE_00721/FGLBJAKE_00716/FGLBJAKE_02275/FGLBJAKE_00720/FGLBJAKE_01744/FGLBJAKE_00723/FGLBJAKE_00722/FGLBJAKE_00719/FGLBJAKE_00709/FGLBJAKE_00715/FGLBJAKE_01718/FGLBJAKE_02164/FGLBJAKE_00718/FGLBJAKE_00717/FGLBJAKE_00087",19
