Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
ERR1797969_1	5.584375407712918	11.181539314243448
ERR1797969_1_paired	3.1040648403242046	14.47718528319823
ERR1797969_2	1.811787533723545	19.45549371084992
ERR1797969_2_paired	1.9271771543808194	18.769935385177597
ERR1797970_1	5.33696673247134	11.28768906954095
ERR1797970_1_paired	2.9815986861420676	13.218189316968225
ERR1797970_2	1.761490224289058	18.043877875137323
ERR1797970_2_paired	2.092900017475529	17.037373782422527
ERR1797971_1	6.122428726369419	11.612881961592004
ERR1797971_1_paired	3.00766131470997	14.442980281451067
ERR1797971_2	1.7902458980322615	19.15087189734446
ERR1797971_2_paired	2.239041534185919	18.44461199218572
ERR1797972_1	0.7609656291596064	2.2501850519393636
ERR1797972_1_paired	0.28214632405270607	3.0177401956868866
ERR1797972_2	0.2093254655546366	1.1005217201713335
ERR1797972_2_paired	0.2695462012896596	1.0001014630102563
ERR1797973_1	0.6639575107271053	2.9404751070205655
ERR1797973_1_paired	0.48224555822654397	3.32110542772968
ERR1797973_2	0.19663646071904792	1.2249189465853196
ERR1797973_2_paired	0.2579138576102084	1.3863610895222946
ERR1797974_1	0.5897674531480548	1.441340141256239
ERR1797974_1_paired	0.4293164442611272	2.8033676636086353
ERR1797974_2	0.2034321855638191	1.1172031951391765
ERR1797974_2_paired	0.24243217563087494	1.1681083904842482
