Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48
ERR1797970_2 - polya	(1, 0.00010512728285771998)	(2, 0.00013140910357215)	(3, 0.00017270910755196855)	(4, 0.00022902729479717569)	(5, 0.0003379091234712428)	(6, 0.00047682731867608707)	(7, 0.0005744455099011128)	(8, 0.0007283818883713456)	(9, 0.0009799364580666042)	(10, 0.0014060774082220047)	(12, 0.0017702683524076774)	(14, 0.0020462274699091926)	(16, 0.0022865184021554096)	(18, 0.002530563880217974)	(20, 0.0030975002984863923)	(22, 0.0035668185255297853)	(24, 0.004206968587216973)	(26, 0.004475418613085794)	(28, 0.0046706549955358445)	(30, 0.004950368658853708)	(32, 0.0051775186807427095)	(34, 0.005329577786304768)	(36, 0.005506041439673084)	(38, 0.005659977818143317)	(40, 0.0058514596547770215)	(42, 0.006029800581053511)	(44, 0.009014664505049489)	(46, 0.01112284198092841)	(48, 0.011396923825521751)	(50, 0.011577142024706413)	(52, 0.011806169319503589)	(54, 0.01199577388322912)	(56, 0.012162851172056567)	(58, 0.03046438475384071)	(60, 0.059734823938083034)	(62, 0.09887596407350199)	(64, 0.23714837739793454)	(66, 0.37071259026866776)	(68, 0.4308097278780283)	(70, 0.47721215962226265)	(72, 0.5250056505914535)	(74, 0.58542567914102)	(76, 0.6550067994824734)	(78, 0.7391123803144657)	(80, 0.8438829813196327)	(82, 0.9862516041297)	(84, 1.1695541627024921)	(86, 1.4358791156392603)	(88, 1.8020956372928523)
ERR1797970_2_paired - illumina_universal_adapter	(1, 0.004378987489165374)	(2, 0.005301943313804846)	(3, 0.006521322906941665)	(4, 0.00807081078772326)	(5, 0.012261164969663048)	(6, 0.022555154021116422)	(7, 0.0369856020238737)	(8, 0.04769054220892567)	(9, 0.052702798658062655)	(10, 0.05911633110373256)	(12, 0.06633829200894067)	(14, 0.07354004220266035)	(16, 0.08310307718861457)	(18, 0.09374064833537168)	(20, 0.106678872139898)	(22, 0.12192785395793773)	(24, 0.14203751188895103)	(26, 0.16737500719164483)	(28, 0.2031547034300407)	(30, 0.2505319796108953)	(32, 0.2947125949246592)	(34, 0.343474304842473)	(36, 0.4031295882525644)	(38, 0.4608109588406166)	(40, 0.5105562567175352)	(42, 0.5635420053364363)	(44, 0.644967593471509)	(46, 0.7199156485745317)	(48, 0.7958439231847446)	(50, 0.8666656246922078)	(52, 0.9398486109919053)	(54, 1.0088917698883844)	(56, 1.0719491897323659)	(58, 1.1402883421786636)	(60, 1.2462968923875277)	(62, 1.4378641212308538)	(64, 1.5886596080981357)	(66, 1.658602143655851)	(68, 1.7225050449304327)	(70, 1.7729779284209357)	(72, 1.8034287337302088)	(74, 1.8302988746541105)	(76, 1.8547033087764206)	(78, 1.871565779061622)	(80, 1.8850395867205925)	(82, 1.8903651091978007)	(84, 1.8914396453586033)	(86, 1.8923794434428165)	(88, 1.8932821885559676)
ERR1797971_1 - illumina_universal_adapter	(1, 0.07444145816593241)	(2, 0.09265974914898306)	(3, 0.11765828679610346)	(4, 0.15349362894049773)	(5, 0.24930083233685077)	(6, 0.4287383217766709)	(7, 0.6544169485883813)	(8, 0.8251835456597276)	(9, 0.906934051778701)	(10, 1.005745643320271)	(12, 1.1132263162669962)	(14, 1.2153302391214076)	(16, 1.3482640015081704)	(18, 1.4858935917795304)	(20, 1.649539481082949)	(22, 1.8433795617939621)	(24, 2.0992433251966753)	(26, 2.4273264947736504)	(28, 2.912398452495625)	(30, 3.574131692890321)	(32, 4.218365594739369)	(34, 4.9361372840584705)	(36, 5.866881881547425)	(38, 6.812503542696992)	(40, 7.649856761856332)	(42, 8.55346588498246)	(44, 10.014752107191644)	(46, 11.3841717821853)	(48, 12.778173473262846)	(50, 14.098961539304334)	(52, 15.480782691102355)	(54, 16.795478676540764)	(56, 18.083136979635537)	(58, 19.492301866578003)	(60, 21.776156603415153)	(62, 26.134064165690106)	(64, 29.62105773658923)	(66, 31.21100565871708)	(68, 32.80040485895946)	(70, 34.271977352817125)	(72, 35.44271443118638)	(74, 36.60274147249065)	(76, 37.76409232798067)	(78, 38.86886144555076)	(80, 39.968320818671316)	(82, 41.15435329322774)	(84, 42.48057062729777)	(86, 43.69144408569261)	(88, 44.826503375726176)
ERR1797971_1 - polya	(1, 0.00032235147067425604)	(2, 0.0004056557833204121)	(3, 0.0004744723894194106)	(4, 0.0005360451422448302)	(5, 0.0006193494548909864)	(6, 0.0006881660609899848)	(7, 0.0007787142269097197)	(8, 0.0008801281727398226)	(9, 0.0010612245045792923)	(10, 0.001200668680095684)	(12, 0.0014252281315766265)	(14, 0.001733091895703725)	(16, 0.0019920596502341664)	(18, 0.0022854357078141074)	(20, 0.0026258968116723105)	(22, 0.00298808947535125)	(24, 0.003339416359119821)	(26, 0.003687121316251603)	(28, 0.003966009667284387)	(30, 0.004264818614819511)	(32, 0.004590792012130557)	(34, 0.004907710592849629)	(36, 0.005269903256528569)	(38, 0.005666504223257007)	(40, 0.005990666657249658)	(42, 0.006267744044964046)	(44, 0.006611827075459039)	(46, 0.006879849646581454)	(48, 0.007316291806314575)	(50, 0.007765410709276461)	(52, 0.008156578786049716)	(54, 0.008527826266320628)	(56, 0.008803092690716621)	(58, 0.009192449804171481)	(60, 0.009603538477447077)	(62, 0.010141394583010303)	(64, 0.032061294588859715)	(66, 0.0685685041243784)	(68, 0.12072062576750889)	(70, 0.30467103579676863)	(72, 0.48187741842832654)	(74, 0.5581117302794696)	(76, 0.618357046992506)	(78, 0.6767135289644568)	(80, 0.7523828202602607)	(82, 0.8328728959096314)	(84, 0.9296525866079625)	(86, 1.0473507145970706)	(88, 1.205476787706022)
ERR1797971_1_paired - illumina_universal_adapter	(1, 0.007648203503962756)	(2, 0.01006602267618324)	(3, 0.013689226916770205)	(4, 0.01836978648048566)	(5, 0.029605949047597765)	(6, 0.05148615520087002)	(7, 0.08028851420289013)	(8, 0.10109021792657133)	(9, 0.11221359592588306)	(10, 0.12587462670070315)	(12, 0.14005023706611247)	(14, 0.15323898246326853)	(16, 0.16906054261501452)	(18, 0.18607338976415197)	(20, 0.2057120026323918)	(22, 0.22845924015062943)	(24, 0.25744134955758136)	(26, 0.2946214872365229)	(28, 0.34803907816097435)	(30, 0.41914974815910916)	(32, 0.4876663730978354)	(34, 0.5625095073866138)	(36, 0.6545487637472052)	(38, 0.7414809938970861)	(40, 0.8163206036681208)	(42, 0.8960310969610339)	(44, 1.0231604519785162)	(46, 1.143022251408362)	(48, 1.2623130789637185)	(50, 1.3737195603262802)	(52, 1.4870539528946793)	(54, 1.5888913685829282)	(56, 1.6841238380193677)	(58, 1.789175613889927)	(60, 1.9587225399535806)	(62, 2.2726724824968922)	(64, 2.521316635766045)	(66, 2.628328043502136)	(68, 2.726503485254616)	(70, 2.8051636722598885)	(72, 2.8523745874375757)	(74, 2.8884973697933884)	(76, 2.9174794792003405)	(78, 2.939352636318125)	(80, 2.9600168838497996)	(82, 2.9668685463436724)	(84, 2.9675276311617558)	(86, 2.967880082936132)	(88, 2.9682325347105083)
ERR1797971_2 - illumina_universal_adapter	(1, 0.07084850694223734)	(2, 0.086194610102314)	(3, 0.10691565239138612)	(4, 0.13720220292821902)	(5, 0.22080351355859182)	(6, 0.38702459270076744)	(7, 0.6021634129994207)	(8, 0.7656752910172778)	(9, 0.8427752433346137)	(10, 0.9363350412528388)	(12, 1.0393697992529054)	(14, 1.1380962755185107)	(16, 1.2672885876894697)	(18, 1.4013958543065521)	(20, 1.5618508262429591)	(22, 1.7528060423877698)	(24, 2.006739318893074)	(26, 2.332573272028603)	(28, 2.8235417263152707)	(30, 3.4848240368436865)	(32, 4.123628670664187)	(34, 4.833598730007644)	(36, 5.752780326708649)	(38, 6.688014302263904)	(40, 7.51651553272293)	(42, 8.410461355582104)	(44, 9.854135959519898)	(46, 11.202001549098021)	(48, 12.563404089481146)	(50, 13.867603731526138)	(52, 15.236715542755666)	(54, 16.53872754111204)	(56, 17.818662085653855)	(58, 19.220775081434493)	(60, 21.486360820315674)	(62, 25.79155305135548)	(64, 29.23001280532162)	(66, 30.80178408862275)	(68, 32.37148544085095)	(70, 33.823892509910046)	(72, 34.97928710704586)	(74, 36.12410930032888)	(76, 37.27096520541848)	(78, 38.364500917524566)	(80, 39.45444548937028)	(82, 40.63128008123257)	(84, 41.94754073897806)	(86, 43.14786533604325)	(88, 44.27082376918331)
ERR1797971_2 - polya	(1, 7.606045937257728e-05)	(2, 9.417009255652424e-05)	(3, 0.0001159016523772606)	(4, 0.00015574284538194395)	(5, 0.00021731559820736362)	(6, 0.0003042418374903091)	(7, 0.0004744723894194106)	(8, 0.0006773002810796167)	(9, 0.0009453228522020318)	(10, 0.0011861809735485265)	(12, 0.0014632583612629152)	(14, 0.0016823849227886735)	(16, 0.0018417496948074067)	(18, 0.0020500104764227967)	(20, 0.002544403462344549)	(22, 0.0029011632360683047)	(24, 0.00349697016782016)	(26, 0.0037903462254001005)	(28, 0.0039678206306027804)	(30, 0.004203245861994092)	(32, 0.004386153157151957)	(34, 0.004512920589439584)	(36, 0.0046686634348215295)	(38, 0.004802674720382736)	(40, 0.004934875042625549)	(42, 0.005059831511594783)	(44, 0.007698405066495857)	(46, 0.009485825861751424)	(48, 0.009675977010182866)	(50, 0.009811799259062469)	(52, 0.009951243434578861)	(54, 0.010099742426687226)	(56, 0.010237375638885222)	(58, 0.03296134335810188)	(60, 0.07077606840950154)	(62, 0.12327770597308221)	(64, 0.30578840016421815)	(66, 0.48190639384142087)	(68, 0.5600675706633359)	(70, 0.62177071284768)	(72, 0.6829740291561472)	(74, 0.762533269659863)	(76, 0.8463935480447662)	(78, 0.9474615998810559)	(80, 1.069973268370457)	(82, 1.235888294711824)	(84, 1.4486293995769226)	(86, 1.7698218537274062)	(88, 2.211149992493557)
ERR1797971_2_paired - illumina_universal_adapter	(1, 0.006781172138997393)	(2, 0.008113439846139292)	(3, 0.009917992930945252)	(4, 0.012448596670966108)	(5, 0.019948770429690874)	(6, 0.03630253276074488)	(7, 0.05826732733986741)	(8, 0.07465633484835904)	(9, 0.08235388160073445)	(10, 0.09194056986376611)	(12, 0.10275026578388305)	(14, 0.11339078485229945)	(16, 0.12658305476719928)	(18, 0.14122742599252885)	(20, 0.1580746208077095)	(22, 0.17830887717464508)	(24, 0.20399908700892366)	(26, 0.23624137532885514)	(28, 0.28391752684871885)	(30, 0.3468336930926078)	(32, 0.40461463698383615)	(34, 0.4680277602295956)	(36, 0.5461909902329974)	(38, 0.6208825702587941)	(40, 0.685455259842251)	(42, 0.7540388506181088)	(44, 0.860704855615311)	(46, 0.9608328801978354)	(48, 1.0589131599712345)	(50, 1.1485804158902742)	(52, 1.2406901626057407)	(54, 1.3246195036379367)	(56, 1.4030047782591955)	(58, 1.4879104107064134)	(60, 1.619917698281262)	(62, 1.8556762146792218)	(64, 2.04331096580386)	(66, 2.127046458360149)	(68, 2.202506383254086)	(70, 2.261055672013454)	(72, 2.2958849563573067)	(74, 2.326255725755301)	(76, 2.352097489852561)	(78, 2.3709113655687606)	(80, 2.3858200756248724)	(82, 2.3908883321404018)	(84, 2.391931589392555)	(86, 2.39279862075752)	(88, 2.3936586030869984)
ERR1797972_1 - illumina_universal_adapter	(1, 0.044813515948441594)	(2, 0.05568914878471358)	(3, 0.06957450683713554)	(4, 0.09134792999593336)	(5, 0.15080015852942832)	(6, 0.26377748802350937)	(7, 0.39730219310367443)	(8, 0.49711058993420854)	(9, 0.5490366589701408)	(10, 0.6181218546525034)	(12, 0.6973053246950649)	(14, 0.7732851915167553)	(16, 0.8677167050163515)	(18, 0.9776418407789627)	(20, 1.1144938617115832)	(22, 1.3055135507061517)	(24, 1.5861713503407304)	(26, 1.950357333780816)	(28, 2.444290170894783)	(30, 3.0145813985539434)	(32, 3.6447753903004276)	(34, 4.353933123684122)	(36, 5.224526608999101)	(38, 6.181024668520313)	(40, 7.130454489926542)	(42, 8.101569104546554)	(44, 9.306928970928048)	(46, 10.580515430399569)	(48, 11.841736166084244)	(50, 13.079488430911702)	(52, 14.497242574693994)	(54, 15.930464490338672)	(56, 17.37598750376862)	(58, 18.835608217827588)	(60, 20.47243342820184)	(62, 22.499740018827957)	(64, 24.35297185807214)	(66, 25.941844575278655)	(68, 27.555072062792544)	(70, 29.175020654470103)	(72, 30.792853206210417)	(74, 32.4478844844566)	(76, 34.119472944305976)	(78, 35.72452431939219)	(80, 37.37372448583922)	(82, 39.08000233687622)	(84, 40.846622408811236)	(86, 42.444300880346475)	(88, 43.96883010392895)
ERR1797972_1 - polya	(1, 0.00021788194816300407)	(2, 0.00024003943441686888)	(3, 0.0003138977219297516)	(4, 0.0003323622938079723)	(5, 0.000406220581320855)	(6, 0.00044684263945294055)	(7, 0.0005428584132196881)	(8, 0.0006647245876159446)	(9, 0.0008161340770173542)	(10, 0.0009398467086014328)	(12, 0.0010709451689367997)	(14, 0.0012574373449068285)	(16, 0.0014679334643185444)	(18, 0.0017522878712431427)	(20, 0.002032949363792097)	(22, 0.0022969927416506527)	(24, 0.0027475282954792374)	(26, 0.003151902419612271)	(28, 0.0034990363709228194)	(30, 0.0038277057503551476)	(32, 0.004121292443218856)	(34, 0.004333635019818394)	(36, 0.004603217769240416)	(38, 0.004917115491170168)	(40, 0.005164540754338325)	(42, 0.005384269159689151)	(44, 0.005639080251608596)	(46, 0.005849576371020312)	(48, 0.006170859921701352)	(50, 0.006560462388331809)	(52, 0.006889131767764137)	(54, 0.007188257832191312)	(56, 0.007529852411938395)	(58, 0.00798962025170609)	(60, 0.008488163692418048)	(62, 0.008964549646876142)	(64, 0.02263941157988638)	(66, 0.044728578917801784)	(68, 0.07631038265831044)	(70, 0.19031249589163274)	(72, 0.2982268397767057)	(74, 0.3515802202188244)	(76, 0.3966817834885662)	(78, 0.4414528309216879)	(80, 0.4965566527778619)	(82, 0.5617882923092399)	(84, 0.6451189051956498)	(86, 0.7642541694111176)	(88, 0.9423745084915611)
ERR1797972_1_paired - illumina_universal_adapter	(1, 0.005159502010910512)	(2, 0.006577105771230415)	(3, 0.008591974060009973)	(4, 0.01142718158064978)	(5, 0.018450436758681382)	(6, 0.03246816328204774)	(7, 0.05012704464156573)	(8, 0.06300780977340648)	(9, 0.0702109639057934)	(10, 0.07937501664065327)	(12, 0.08984873376321988)	(14, 0.10006699437060193)	(16, 0.11208064654245004)	(18, 0.1256522236590152)	(20, 0.14231446481140475)	(22, 0.16530555117801432)	(24, 0.19895385160063295)	(26, 0.24214039458317052)	(28, 0.2996289044369559)	(30, 0.36333472215326096)	(32, 0.4320957004869505)	(34, 0.5074157946964348)	(36, 0.5973652718740938)	(38, 0.6920604834676458)	(40, 0.7839024976451228)	(42, 0.8755790047845926)	(44, 0.9866522171826528)	(46, 1.1045148161180829)	(48, 1.2173330483733897)	(50, 1.3257473542260783)	(52, 1.4474561928056249)	(54, 1.5663082359900091)	(56, 1.679838868104563)	(58, 1.793304736595549)	(60, 1.917089609108356)	(62, 2.067323225890482)	(64, 2.2014810721114166)	(66, 2.313536532800257)	(68, 2.4172302900906617)	(70, 2.50403513354619)	(72, 2.5707812435910995)	(74, 2.6235276170080786)	(76, 2.665987368215021)	(78, 2.6972286206283655)	(80, 2.7291354991728247)	(82, 2.7395480506509102)	(84, 2.740253254551983)	(86, 2.740544690858039)	(88, 2.7408469211013555)
ERR1797972_2 - illumina_universal_adapter	(1, 0.04151574341099138)	(2, 0.050652013576334975)	(3, 0.06197818196643554)	(4, 0.0796783205688979)	(5, 0.12842109741302485)	(6, 0.22964757336380628)	(7, 0.35636623724965916)	(8, 0.4514920186518765)	(9, 0.5002126380097496)	(10, 0.5660056005262255)	(12, 0.6419171484319663)	(14, 0.7148817506659433)	(16, 0.8060653459721605)	(18, 0.9128330399435959)	(20, 1.0470612452123214)	(22, 1.235017661732293)	(24, 1.5130165630164079)	(26, 1.874809537941076)	(28, 2.376117125063204)	(30, 2.946838577247127)	(32, 3.5725290599125135)	(34, 4.275203882109765)	(36, 5.136094234902738)	(38, 6.081690811187049)	(40, 7.019936641406639)	(42, 7.980288257078837)	(44, 9.171083269162791)	(46, 10.429242578830058)	(48, 11.675292822259587)	(50, 12.90012173322948)	(52, 14.303789255125876)	(54, 15.725151376253173)	(56, 17.160904784702353)	(58, 18.615239091832585)	(60, 20.241293917430276)	(62, 22.24870862477198)	(64, 24.081516801061667)	(66, 25.653346718424586)	(68, 27.247007299119122)	(70, 28.846787038934103)	(72, 30.441767836517933)	(74, 32.07582705402483)	(76, 33.728947249081614)	(78, 35.31554513103273)	(80, 36.94936061619083)	(82, 38.64061015217614)	(84, 40.395331653992834)	(86, 41.98007938584175)	(88, 43.489343947852504)
ERR1797972_2 - polya	(1, 0.00010709451689367996)	(2, 0.00013294491752318893)	(3, 0.0001920315475334951)	(4, 0.00024003943441686888)	(5, 0.0002806614925489544)	(6, 0.0003655985231887695)	(7, 0.00048007886883373775)	(8, 0.0006979608169967418)	(9, 0.0008752207070276604)	(10, 0.0011429569992618604)	(12, 0.0014642405499429001)	(14, 0.0017375162137405662)	(16, 0.0019960202200356558)	(18, 0.0022766817125846103)	(20, 0.0035285796859279724)	(22, 0.004381642906701768)	(24, 0.006379509583925246)	(26, 0.006911289254018002)	(28, 0.007171639717500913)	(30, 0.007382135836912629)	(32, 0.007574167384446124)	(34, 0.0077200375022840675)	(36, 0.007904683221066276)	(38, 0.008021010023899065)	(40, 0.008189037627990874)	(42, 0.00840138020459041)	(44, 0.00907902999252111)	(46, 0.009599730919486932)	(48, 0.009778837266705673)	(50, 0.009943171956421838)	(52, 0.010148128704270088)	(54, 0.010323542137113183)	(56, 0.010511880770271036)	(58, 0.02396147492636698)	(60, 0.04606356746459714)	(62, 0.07655596146429078)	(64, 0.1867119043753797)	(66, 0.2918805664221613)	(68, 0.3450326830308073)	(70, 0.3907195732290888)	(72, 0.43529674265748913)	(74, 0.49134779705101583)	(76, 0.5577057754669653)	(78, 0.64266865650741)	(80, 0.7631702990418661)	(82, 0.9440547845324793)	(84, 1.1803403714865057)	(86, 1.5059243209579833)	(88, 1.886569623770315)
ERR1797972_2_paired - illumina_universal_adapter	(1, 0.0043031829881792)	(2, 0.005080346470994172)	(3, 0.00632524723513297)	(4, 0.007850790368066065)	(5, 0.012348264226949008)	(6, 0.02215635521840093)	(7, 0.03598698682923775)	(8, 0.0462052474366198)	(9, 0.051645391816324604)	(10, 0.05892050553045365)	(12, 0.06740094223876333)	(14, 0.07591735873794407)	(16, 0.08590534868375131)	(18, 0.09759158475867274)	(20, 0.11227493741315378)	(22, 0.13259272531804336)	(24, 0.16242356992924215)	(26, 0.20128894002816497)	(28, 0.25467575372264906)	(30, 0.31198076664299196)	(32, 0.3725311566999048)	(34, 0.4383453901612542)	(36, 0.5170979564198381)	(38, 0.5985885847637099)	(40, 0.6768985995945798)	(42, 0.7563131940051911)	(44, 0.8516992175834677)	(46, 0.9522627330680904)	(48, 1.0477782838935026)	(50, 1.1384653467840185)	(52, 1.23997513076855)	(54, 1.3396211615859603)	(56, 1.4337299025883141)	(58, 1.5290367706266743)	(60, 1.6318814048525225)	(62, 1.7534930979967172)	(64, 1.8625118643360397)	(66, 1.953896935169454)	(68, 2.0356538139657716)	(70, 2.103454131883204)	(72, 2.1556212306671587)	(74, 2.201196831763535)	(76, 2.2414977955182134)	(78, 2.268543804315992)	(80, 2.2920134219011867)	(82, 2.2998786041856008)	(84, 2.3007097373547225)	(86, 2.301245836238701)	(88, 2.30169558362459)
ERR1797973_1 - illumina_universal_adapter	(1, 0.035139149696868995)	(2, 0.04325492812275866)	(3, 0.05375033293895549)	(4, 0.07126354821498797)	(5, 0.1206846310368408)	(6, 0.20661419242577445)	(7, 0.3067129677948879)	(8, 0.3781894299500612)	(9, 0.41454344154092915)	(10, 0.46329447166866916)	(12, 0.5217957078219572)	(14, 0.581726807201)	(16, 0.6588601005120789)	(18, 0.7401994878376043)	(20, 0.8384133486186061)	(22, 0.9771810528302107)	(24, 1.1820126128548252)	(26, 1.4560286790902648)	(28, 1.8225203666795529)	(30, 2.2526670602095575)	(32, 2.7306525937510178)	(34, 3.2888670223025267)	(36, 3.978672702846451)	(38, 4.760947742569512)	(40, 5.530859162020829)	(42, 6.323066010836067)	(44, 7.3493091151380145)	(46, 8.43842445354176)	(48, 9.531345106778428)	(50, 10.594246981840527)	(52, 11.793873004766768)	(54, 12.986207768937442)	(56, 14.205526243939257)	(58, 15.450338032190917)	(60, 16.86423271243175)	(62, 18.61290951491525)	(64, 20.17990601728193)	(66, 21.51381393993489)	(68, 22.88221183350631)	(70, 24.26593118120479)	(72, 25.671090127723318)	(74, 27.113909792955806)	(76, 28.614450009894234)	(78, 30.046578055502906)	(80, 31.53080321992674)	(82, 33.051916768183474)	(84, 34.664948604244756)	(86, 36.135668345207804)	(88, 37.54978637634668)
ERR1797973_1 - polya	(1, 0.00019204002448092834)	(2, 0.0002504869884533848)	(3, 0.0003089339524258412)	(4, 0.00037990526582096695)	(5, 0.00045505136235698236)	(6, 0.000509323543188549)	(7, 0.0005886444228654543)	(8, 0.0006721400856832492)	(9, 0.0007890340136281621)	(10, 0.0009038405500026301)	(12, 0.0010311714357997674)	(14, 0.0012232114602806956)	(16, 0.0014027271353389548)	(18, 0.0016260780333765563)	(20, 0.0018556911061254923)	(22, 0.002074867221022204)	(24, 0.0024652094446953954)	(26, 0.0028033668791074646)	(28, 0.0030225429940041763)	(30, 0.003193709102780656)	(32, 0.003427496958670482)	(34, 0.00361953698315141)	(36, 0.0038595870137525705)	(38, 0.004135122701051294)	(40, 0.0043856096895046786)	(42, 0.0045985236296900555)	(44, 0.004838573660291216)	(46, 0.005024351510060809)	(48, 0.005329110679345762)	(50, 0.00568814202946228)	(52, 0.005957415542049668)	(54, 0.00617659165694638)	(56, 0.006460476910526883)	(58, 0.006844556959488739)	(60, 0.007184801785471253)	(62, 0.007639853147828236)	(64, 0.018087247957904826)	(66, 0.03467157398508934)	(68, 0.059354979305599964)	(70, 0.1437022978841364)	(72, 0.21921160055340927)	(74, 0.2561166835188746)	(76, 0.28863615679483534)	(78, 0.322934087688815)	(80, 0.3666044067340922)	(82, 0.4136938731717581)	(84, 0.47177345622781625)	(86, 0.5559370843481535)	(88, 0.6817859221302749)
ERR1797973_1_paired - illumina_universal_adapter	(1, 0.003325681855152096)	(2, 0.004243859236900609)	(3, 0.005350009940896849)	(4, 0.007114067272760136)	(5, 0.012023062880691163)	(6, 0.02108916080756231)	(7, 0.03245431706038643)	(8, 0.040529940173875324)	(9, 0.04473765069495906)	(10, 0.05026478934335858)	(12, 0.056800477163048785)	(14, 0.06357113163554864)	(16, 0.07202993113669637)	(18, 0.08078153523596074)	(20, 0.09119959513438285)	(22, 0.10564462197480434)	(24, 0.12656026894644568)	(26, 0.15464420626457243)	(28, 0.19118694308384693)	(30, 0.23278688524590163)	(32, 0.2779077123285195)	(34, 0.3295100041571023)	(36, 0.39052180671281655)	(38, 0.4572776402118315)	(40, 0.5210981979865166)	(42, 0.58523686446039)	(44, 0.6661702243027816)	(46, 0.7512389972346233)	(48, 0.834908814864352)	(50, 0.9149167675818317)	(52, 1.0026822347136117)	(54, 1.0881739476205108)	(56, 1.1722847795832054)	(58, 1.2570932817611653)	(60, 1.349402642471126)	(62, 1.4607985251323947)	(64, 1.5590362752363223)	(66, 1.639864803802845)	(68, 1.7148697742512697)	(70, 1.7801905037323549)	(72, 1.8320602960579826)	(74, 1.8725830064886946)	(76, 1.9073399967466156)	(78, 1.9335044372548664)	(80, 1.9597375603231697)	(82, 1.9681023731631933)	(84, 1.9688072731216222)	(86, 1.9691326115639742)	(88, 1.9693856525746924)
ERR1797973_2 - illumina_universal_adapter	(1, 0.03237544325759999)	(2, 0.03913859194584137)	(3, 0.047813791312610265)	(4, 0.061824363533436254)	(5, 0.10276228701300111)	(6, 0.1798830559746574)	(7, 0.27416218364537054)	(8, 0.34166007746727595)	(9, 0.3755760157038643)	(10, 0.42168232071185063)	(12, 0.47745742347413767)	(14, 0.5347834581732651)	(16, 0.6091718315692092)	(18, 0.6878560568171286)	(20, 0.783548348581033)	(22, 0.9194667632989805)	(24, 1.1226638957239365)	(26, 1.3940686351047495)	(28, 1.763728983097973)	(30, 2.1921807146727765)	(32, 2.6651836445355848)	(34, 3.216551428736034)	(36, 3.896608990645981)	(38, 4.668294692932175)	(40, 5.427886048459213)	(42, 6.209163315011601)	(44, 7.220911572248379)	(46, 8.294747204356469)	(48, 9.371283921156715)	(50, 10.420887024523513)	(52, 11.606567184367607)	(54, 12.786818038736978)	(56, 13.99481241446913)	(58, 15.232172214814302)	(60, 16.6331730773245)	(62, 18.360548048831603)	(64, 19.90545786099141)	(66, 21.22220325015217)	(68, 22.57127607256441)	(70, 23.934079756727037)	(72, 25.315509235872746)	(74, 26.737273382334156)	(76, 28.215954434746884)	(78, 29.62716264203656)	(80, 31.09438391472755)	(82, 32.59881085477015)	(84, 34.195719678341305)	(86, 35.650525145971294)	(88, 37.04672918265261)
ERR1797973_2 - polya	(1, 0.00014611740993114114)	(2, 0.00015864175935381036)	(3, 0.00020038959076270783)	(4, 0.0002504869884533848)	(5, 0.0003381574344120695)	(6, 0.00048010006120232084)	(7, 0.0006053435554290133)	(8, 0.0007514609653601544)	(9, 0.0009643749055455314)	(10, 0.0011981627614353573)	(12, 0.001446562358318297)	(14, 0.0016845249973490126)	(16, 0.0019204002448092834)	(18, 0.0022648198539326875)	(20, 0.0037614796099416613)	(22, 0.00484901061814344)	(24, 0.00717436482761903)	(26, 0.007714999244364251)	(28, 0.007975923190669861)	(30, 0.008105341468037442)	(32, 0.008301556275659261)	(34, 0.008466460209724407)	(36, 0.00864806327635311)	(38, 0.008781656336861583)	(40, 0.008927773746792723)	(42, 0.009082240723005643)	(44, 0.00981700255580224)	(46, 0.010384773062963244)	(48, 0.010574725695873727)	(50, 0.010823125292756669)	(52, 0.011008903142526262)	(54, 0.01118006925130274)	(56, 0.011363759709501889)	(58, 0.022299604147062578)	(60, 0.03972514897713639)	(62, 0.06454632214129637)	(64, 0.1501398134873884)	(66, 0.22617305144084293)	(68, 0.26423246194476424)	(70, 0.29792087450017407)	(72, 0.33327293813722847)	(74, 0.37910579484948653)	(76, 0.42849556679778267)	(78, 0.4896185667635494)	(80, 0.5780383862960239)	(82, 0.7121595568718183)	(84, 0.8919319810932421)	(86, 1.136728740125594)	(88, 1.4261017461447967)
