Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
ERR1797971_2	(2.0, 240492.0)	(3.0, 37885.0)	(4.0, 32452.0)	(5.0, 23703.0)	(6.0, 20677.0)	(7.0, 21850.0)	(8.0, 25142.0)	(9.0, 28656.0)	(10.0, 31636.0)	(11.0, 35208.0)	(12.0, 39596.0)	(13.0, 43094.0)	(14.0, 46758.0)	(15.0, 48383.0)	(16.0, 50353.0)	(17.0, 49965.0)	(18.0, 49715.0)	(19.0, 52272.0)	(20.0, 56012.0)	(21.0, 62125.0)	(22.0, 71944.0)	(23.0, 89260.0)	(24.0, 114864.0)	(25.0, 152322.0)	(26.0, 199387.0)	(27.0, 256993.0)	(28.0, 303001.0)	(29.0, 349084.0)	(30.0, 432882.0)	(31.0, 553842.0)	(32.0, 719476.0)	(33.0, 955821.0)	(34.0, 1311397.0)	(35.0, 1900257.0)	(36.0, 3478477.0)	(37.0, 7822777.0)	(38.0, 6710605.0)	(39.0, 1189462.0)	(40.0, 1790.0)
ERR1797971_2_paired	(18.0, 1.0)	(19.0, 13.0)	(20.0, 105.0)	(21.0, 563.0)	(22.0, 2366.0)	(23.0, 7136.0)	(24.0, 16095.0)	(25.0, 30803.0)	(26.0, 50440.0)	(27.0, 75125.0)	(28.0, 106085.0)	(29.0, 143956.0)	(30.0, 189822.0)	(31.0, 246176.0)	(32.0, 318475.0)	(33.0, 421696.0)	(34.0, 580872.0)	(35.0, 848269.0)	(36.0, 1551577.0)	(37.0, 4028468.0)	(38.0, 4619814.0)	(39.0, 946531.0)	(40.0, 1950.0)																
ERR1797972_1	(2.0, 2008.0)	(3.0, 282.0)	(4.0, 307.0)	(5.0, 354.0)	(6.0, 620.0)	(7.0, 1084.0)	(8.0, 2211.0)	(9.0, 3577.0)	(10.0, 5032.0)	(11.0, 6762.0)	(12.0, 8641.0)	(13.0, 10736.0)	(14.0, 12933.0)	(15.0, 14406.0)	(16.0, 16456.0)	(17.0, 18844.0)	(18.0, 21733.0)	(19.0, 25409.0)	(20.0, 30068.0)	(21.0, 35628.0)	(22.0, 42636.0)	(23.0, 52471.0)	(24.0, 68541.0)	(25.0, 91500.0)	(26.0, 124334.0)	(27.0, 171849.0)	(28.0, 237600.0)	(29.0, 322628.0)	(30.0, 431180.0)	(31.0, 544107.0)	(32.0, 686954.0)	(33.0, 903984.0)	(34.0, 1247514.0)	(35.0, 1842940.0)	(36.0, 3375477.0)	(37.0, 7879029.0)	(38.0, 8155416.0)	(39.0, 683414.0)	(40.0, 219.0)
ERR1797972_1_paired	(20.0, 2.0)	(21.0, 14.0)	(22.0, 43.0)	(23.0, 194.0)	(24.0, 829.0)	(25.0, 3117.0)	(26.0, 10417.0)	(27.0, 28056.0)	(28.0, 59526.0)	(29.0, 105685.0)	(30.0, 162078.0)	(31.0, 227844.0)	(32.0, 306662.0)	(33.0, 412173.0)	(34.0, 577929.0)	(35.0, 865961.0)	(36.0, 1618180.0)	(37.0, 4040503.0)	(38.0, 4929998.0)	(39.0, 546635.0)	(40.0, 844.0)																		
ERR1797972_2	(2.0, 219948.0)	(3.0, 35322.0)	(4.0, 28410.0)	(5.0, 21260.0)	(6.0, 19209.0)	(7.0, 19149.0)	(8.0, 20585.0)	(9.0, 23455.0)	(10.0, 26258.0)	(11.0, 29792.0)	(12.0, 33432.0)	(13.0, 37738.0)	(14.0, 42212.0)	(15.0, 46674.0)	(16.0, 49810.0)	(17.0, 51520.0)	(18.0, 52684.0)	(19.0, 54860.0)	(20.0, 58417.0)	(21.0, 62822.0)	(22.0, 70193.0)	(23.0, 82484.0)	(24.0, 103243.0)	(25.0, 134503.0)	(26.0, 172474.0)	(27.0, 221990.0)	(28.0, 270707.0)	(29.0, 323629.0)	(30.0, 405485.0)	(31.0, 516883.0)	(32.0, 672314.0)	(33.0, 892005.0)	(34.0, 1218333.0)	(35.0, 1735654.0)	(36.0, 2942852.0)	(37.0, 6690494.0)	(38.0, 8311883.0)	(39.0, 1378965.0)	(40.0, 1236.0)
ERR1797972_2_paired	(19.0, 13.0)	(20.0, 77.0)	(21.0, 625.0)	(22.0, 2581.0)	(23.0, 7227.0)	(24.0, 15994.0)	(25.0, 29799.0)	(26.0, 49172.0)	(27.0, 73398.0)	(28.0, 104304.0)	(29.0, 141807.0)	(30.0, 186604.0)	(31.0, 240710.0)	(32.0, 308459.0)	(33.0, 404526.0)	(34.0, 550999.0)	(35.0, 790662.0)	(36.0, 1363262.0)	(37.0, 3414800.0)	(38.0, 5181100.0)	(39.0, 1029102.0)	(40.0, 1469.0)																	
ERR1797973_1	(2.0, 1903.0)	(3.0, 262.0)	(4.0, 257.0)	(5.0, 344.0)	(6.0, 501.0)	(7.0, 895.0)	(8.0, 1940.0)	(9.0, 2865.0)	(10.0, 4214.0)	(11.0, 5535.0)	(12.0, 7126.0)	(13.0, 8839.0)	(14.0, 10407.0)	(15.0, 12036.0)	(16.0, 13586.0)	(17.0, 15478.0)	(18.0, 17685.0)	(19.0, 20871.0)	(20.0, 24296.0)	(21.0, 28294.0)	(22.0, 34078.0)	(23.0, 41742.0)	(24.0, 54393.0)	(25.0, 73770.0)	(26.0, 101140.0)	(27.0, 141429.0)	(28.0, 195418.0)	(29.0, 266309.0)	(30.0, 357833.0)	(31.0, 457580.0)	(32.0, 580089.0)	(33.0, 768369.0)	(34.0, 1059174.0)	(35.0, 1562064.0)	(36.0, 2873221.0)	(37.0, 6891165.0)	(38.0, 7619552.0)	(39.0, 698411.0)	(40.0, 269.0)
ERR1797973_1_paired	(19.0, 1.0)	(20.0, 2.0)	(21.0, 16.0)	(22.0, 63.0)	(23.0, 221.0)	(24.0, 737.0)	(25.0, 3072.0)	(26.0, 10288.0)	(27.0, 27698.0)	(28.0, 58684.0)	(29.0, 102773.0)	(30.0, 158013.0)	(31.0, 220930.0)	(32.0, 296751.0)	(33.0, 400426.0)	(34.0, 559005.0)	(35.0, 837012.0)	(36.0, 1567823.0)	(37.0, 3981505.0)	(38.0, 5023213.0)	(39.0, 582639.0)	(40.0, 878.0)																	
ERR1797973_2	(2.0, 183425.0)	(3.0, 29660.0)	(4.0, 23767.0)	(5.0, 17622.0)	(6.0, 16181.0)	(7.0, 15868.0)	(8.0, 17078.0)	(9.0, 19269.0)	(10.0, 21521.0)	(11.0, 23847.0)	(12.0, 27104.0)	(13.0, 30669.0)	(14.0, 34483.0)	(15.0, 37999.0)	(16.0, 40720.0)	(17.0, 41666.0)	(18.0, 42803.0)	(19.0, 44361.0)	(20.0, 46197.0)	(21.0, 49529.0)	(22.0, 55774.0)	(23.0, 65383.0)	(24.0, 81651.0)	(25.0, 105613.0)	(26.0, 137522.0)	(27.0, 177337.0)	(28.0, 216408.0)	(29.0, 261967.0)	(30.0, 330061.0)	(31.0, 426660.0)	(32.0, 555864.0)	(33.0, 743876.0)	(34.0, 1024436.0)	(35.0, 1481409.0)	(36.0, 2534449.0)	(37.0, 5940849.0)	(38.0, 7715798.0)	(39.0, 1333280.0)	(40.0, 1234.0)
ERR1797973_2_paired	(19.0, 8.0)	(20.0, 85.0)	(21.0, 556.0)	(22.0, 2464.0)	(23.0, 6843.0)	(24.0, 15089.0)	(25.0, 27954.0)	(26.0, 46834.0)	(27.0, 69638.0)	(28.0, 97828.0)	(29.0, 134070.0)	(30.0, 177404.0)	(31.0, 229954.0)	(32.0, 296000.0)	(33.0, 388718.0)	(34.0, 531679.0)	(35.0, 771962.0)	(36.0, 1329685.0)	(37.0, 3407227.0)	(38.0, 5246096.0)	(39.0, 1050185.0)	(40.0, 1471.0)																	
ERR1797974_1	(2.0, 1621.0)	(3.0, 236.0)	(4.0, 228.0)	(5.0, 295.0)	(6.0, 426.0)	(7.0, 846.0)	(8.0, 1750.0)	(9.0, 2842.0)	(10.0, 4126.0)	(11.0, 5665.0)	(12.0, 7516.0)	(13.0, 9525.0)	(14.0, 11601.0)	(15.0, 13324.0)	(16.0, 15346.0)	(17.0, 17389.0)	(18.0, 20466.0)	(19.0, 23844.0)	(20.0, 28117.0)	(21.0, 33515.0)	(22.0, 40021.0)	(23.0, 49021.0)	(24.0, 63009.0)	(25.0, 83774.0)	(26.0, 112970.0)	(27.0, 155876.0)	(28.0, 216624.0)	(29.0, 287316.0)	(30.0, 382626.0)	(31.0, 462443.0)	(32.0, 581015.0)	(33.0, 768739.0)	(34.0, 1054153.0)	(35.0, 1546581.0)	(36.0, 2805009.0)	(37.0, 6615357.0)	(38.0, 7161448.0)	(39.0, 655305.0)	(40.0, 212.0)
ERR1797974_1_paired	(20.0, 1.0)	(21.0, 11.0)	(22.0, 35.0)	(23.0, 178.0)	(24.0, 676.0)	(25.0, 2629.0)	(26.0, 8685.0)	(27.0, 23396.0)	(28.0, 51665.0)	(29.0, 91520.0)	(30.0, 143526.0)	(31.0, 202548.0)	(32.0, 273721.0)	(33.0, 370310.0)	(34.0, 516345.0)	(35.0, 771427.0)	(36.0, 1432751.0)	(37.0, 3587479.0)	(38.0, 4530641.0)	(39.0, 535761.0)	(40.0, 822.0)																		
ERR1797974_2	(2.0, 177736.0)	(3.0, 31384.0)	(4.0, 25239.0)	(5.0, 19344.0)	(6.0, 17590.0)	(7.0, 17459.0)	(8.0, 19010.0)	(9.0, 21836.0)	(10.0, 24573.0)	(11.0, 27777.0)	(12.0, 31073.0)	(13.0, 35920.0)	(14.0, 39746.0)	(15.0, 43681.0)	(16.0, 46843.0)	(17.0, 48245.0)	(18.0, 49547.0)	(19.0, 52204.0)	(20.0, 55533.0)	(21.0, 60381.0)	(22.0, 67413.0)	(23.0, 79975.0)	(24.0, 100772.0)	(25.0, 130762.0)	(26.0, 165694.0)	(27.0, 207948.0)	(28.0, 240632.0)	(29.0, 283665.0)	(30.0, 354694.0)	(31.0, 450925.0)	(32.0, 582750.0)	(33.0, 767339.0)	(34.0, 1044970.0)	(35.0, 1491935.0)	(36.0, 2538183.0)	(37.0, 5704574.0)	(38.0, 7022031.0)	(39.0, 1159796.0)	(40.0, 998.0)
ERR1797974_2_paired	(18.0, 1.0)	(19.0, 14.0)	(20.0, 100.0)	(21.0, 652.0)	(22.0, 2445.0)	(23.0, 7043.0)	(24.0, 15546.0)	(25.0, 28597.0)	(26.0, 47275.0)	(27.0, 70574.0)	(28.0, 99242.0)	(29.0, 134351.0)	(30.0, 176175.0)	(31.0, 225897.0)	(32.0, 288896.0)	(33.0, 375098.0)	(34.0, 507536.0)	(35.0, 729501.0)	(36.0, 1252923.0)	(37.0, 3110225.0)	(38.0, 4581026.0)	(39.0, 889803.0)	(40.0, 1207.0)																
