"gene","BHI_mean","Serum_mean","HSerum_mean","BHI_norm","Serum_norm","HSerum_norm","any_insertions","serum_depleted","bhi_depleted","log2FC_serum","category","gene.y","product","COG","rna_log2FC","rna_padj"
"FGLBJAKE_00815",16,0,11,159.743345691256,0,108.707826304659,TRUE,TRUE,FALSE,-7.32861520516974,"Depleted in Serum","","hypothetical protein","",-1.89602579052767,8.63245719857718e-222
"FGLBJAKE_03060",13.3333333333333,0,0,133.119454742713,0,0,TRUE,TRUE,FALSE,-7.06737471281191,"Depleted in Serum","","hypothetical protein","",1.94389301542104,7.29450021716016e-124
"FGLBJAKE_00456",12.6666666666667,0,0.333333333333333,126.463482005578,0,3.29417655468662,TRUE,TRUE,FALSE,-6.99394016724548,"Depleted in Serum","prfC","Peptide chain release factor 3","",-1.84888934894712,2.11676323734521e-214
"FGLBJAKE_00952",11.6666666666667,0,0,116.479522899874,0,0,TRUE,TRUE,FALSE,-6.87626550158364,"Depleted in Serum","uxuA_1","Mannonate dehydratase","COG1312",-1.76738650252756,4.27829477510672e-22
"FGLBJAKE_00877",11,0,7.66666666666667,109.823550162739,0,75.7660607577924,TRUE,TRUE,FALSE,-6.79212067849754,"Depleted in Serum","","hypothetical protein","",3.04932737451441,0
"FGLBJAKE_02129",9.66666666666667,0,0.666666666666667,96.5116046884672,0,6.58835310937325,TRUE,TRUE,FALSE,-6.6075020166239,"Depleted in Serum","efp","Elongation factor P","",-1.16922867095366,1.07629488345847e-76
"FGLBJAKE_02713",9.66666666666667,0,6.66666666666667,96.5116046884672,0,65.8835310937325,TRUE,TRUE,FALSE,-6.6075020166239,"Depleted in Serum","yrrK","Putative pre-16S rRNA nuclease","COG0816",1.52529905428629,8.97839696588304e-102
"FGLBJAKE_00530",9.33333333333333,0,0,93.1836183198994,0,0,TRUE,TRUE,FALSE,-6.55740424364395,"Depleted in Serum","ptsG_2","PTS system glucose-specific EIICBA component","",2.03245920304628,2.98517180378136e-06
"FGLBJAKE_00734",8.66666666666667,0,0,86.5276455827637,0,0,TRUE,TRUE,FALSE,-6.45166685864141,"Depleted in Serum","pdhB","Pyruvate dehydrogenase E1 component subunit beta","",-1.57977041016837,5.30424916079406e-130
"FGLBJAKE_00863",8.66666666666667,0,0,86.5276455827637,0,0,TRUE,TRUE,FALSE,-6.45166685864141,"Depleted in Serum","carA","Carbamoyl-phosphate synthase small chain","",1.76271081042206,2.35777477665247e-18
"FGLBJAKE_02221",8.66666666666667,0,0,86.5276455827637,0,0,TRUE,TRUE,FALSE,-6.45166685864141,"Depleted in Serum","metN2","Methionine import ATP-binding protein MetN 2","COG1135",-2.36593754888996,1.77840998163755e-173
"FGLBJAKE_02639",7.66666666666667,0,0,76.5436864770602,0,0,TRUE,TRUE,FALSE,-6.27693741826314,"Depleted in Serum","","hypothetical protein","",-2.00012787629544,3.74409386971951e-17
"FGLBJAKE_02286",7,0,44.6666666666667,69.8877137399245,0,441.419658328008,TRUE,TRUE,FALSE,-6.14746369608318,"Depleted in Serum","","hypothetical protein","",1.96174944092378,6.42848896454708e-130
"FGLBJAKE_00923",6.33333333333333,0,0,63.2317410027889,0,0,TRUE,TRUE,FALSE,-6.00521449614354,"Depleted in Serum","","hypothetical protein","",-1.58251088145962,8.39806714211463e-56
"FGLBJAKE_01718",6,0,1.33333333333333,59.903754634221,0,13.1767062187465,TRUE,TRUE,FALSE,-5.92845926596148,"Depleted in Serum","guaB","Inosine-5'-monophosphate dehydrogenase","COG0516",1.18737825547297,1.70219782010114e-98
"FGLBJAKE_02573",5,0,0,49.9197955285175,0,0,TRUE,TRUE,FALSE,-5.6701547209101,"Depleted in Serum","ywlC","Threonylcarbamoyl-AMP synthase","COG0009",-1.85749297117387,6.16041190155095e-126
"FGLBJAKE_02289",4.66666666666667,0,9.66666666666667,46.5918091599497,0,95.5311200859121,TRUE,TRUE,FALSE,-5.57264139318651,"Depleted in Serum","eat(A)","ABC-F type ribosomal protection protein Eat(A)","",1.83606591157354,3.56179357362174e-142
"FGLBJAKE_02827",4.33333333333333,0,0,43.2638227913818,0,0,TRUE,TRUE,FALSE,-5.46805614801473,"Depleted in Serum","","hypothetical protein","",-1.28076189489258,6.27002097812717e-08
"FGLBJAKE_02881",4,0,0,39.935836422814,0,0,TRUE,TRUE,FALSE,-5.35529246843525,"Depleted in Serum","glyQ","Glycine--tRNA ligase alpha subunit","COG0752",-3.27478663504171,0
"FGLBJAKE_00759",3.66666666666667,0,0,36.6078500542462,0,0,TRUE,TRUE,FALSE,-5.2329619283931,"Depleted in Serum","zosA","Zinc-transporting ATPase","COG2217",-2.23730059707623,1.89001007101397e-244
"FGLBJAKE_01376",3.66666666666667,0,0,36.6078500542462,0,0,TRUE,TRUE,FALSE,-5.2329619283931,"Depleted in Serum","vanX","D-alanyl-D-alanine dipeptidase","",1.41828723975628,5.829217924284e-62
"FGLBJAKE_02135",3,0,16.6666666666667,29.9518773171105,0,164.708827734331,TRUE,TRUE,FALSE,-4.95195501043185,"Depleted in Serum","asd","Aspartate-semialdehyde dehydrogenase","COG0136",2.44098712582703,4.15127640480378e-225
"FGLBJAKE_01150",2.66666666666667,0,0,26.6238909485427,0,0,TRUE,TRUE,FALSE,-4.78784463884279,"Depleted in Serum","","hypothetical protein","",2.70779604755095,9.48297457251102e-74
