Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
ERR1797974_1	(2.0, 1621.0)	(3.0, 236.0)	(4.0, 228.0)	(5.0, 295.0)	(6.0, 426.0)	(7.0, 846.0)	(8.0, 1750.0)	(9.0, 2842.0)	(10.0, 4126.0)	(11.0, 5665.0)	(12.0, 7516.0)	(13.0, 9525.0)	(14.0, 11601.0)	(15.0, 13324.0)	(16.0, 15346.0)	(17.0, 17389.0)	(18.0, 20466.0)	(19.0, 23844.0)	(20.0, 28117.0)	(21.0, 33515.0)	(22.0, 40021.0)	(23.0, 49021.0)	(24.0, 63009.0)	(25.0, 83774.0)	(26.0, 112970.0)	(27.0, 155876.0)	(28.0, 216624.0)	(29.0, 287316.0)	(30.0, 382626.0)	(31.0, 462443.0)	(32.0, 581015.0)	(33.0, 768739.0)	(34.0, 1054153.0)	(35.0, 1546581.0)	(36.0, 2805009.0)	(37.0, 6615357.0)	(38.0, 7161448.0)	(39.0, 655305.0)	(40.0, 212.0)
ERR1797974_2	(2.0, 177736.0)	(3.0, 31384.0)	(4.0, 25239.0)	(5.0, 19344.0)	(6.0, 17590.0)	(7.0, 17459.0)	(8.0, 19010.0)	(9.0, 21836.0)	(10.0, 24573.0)	(11.0, 27777.0)	(12.0, 31073.0)	(13.0, 35920.0)	(14.0, 39746.0)	(15.0, 43681.0)	(16.0, 46843.0)	(17.0, 48245.0)	(18.0, 49547.0)	(19.0, 52204.0)	(20.0, 55533.0)	(21.0, 60381.0)	(22.0, 67413.0)	(23.0, 79975.0)	(24.0, 100772.0)	(25.0, 130762.0)	(26.0, 165694.0)	(27.0, 207948.0)	(28.0, 240632.0)	(29.0, 283665.0)	(30.0, 354694.0)	(31.0, 450925.0)	(32.0, 582750.0)	(33.0, 767339.0)	(34.0, 1044970.0)	(35.0, 1491935.0)	(36.0, 2538183.0)	(37.0, 5704574.0)	(38.0, 7022031.0)	(39.0, 1159796.0)	(40.0, 998.0)
trim_paired_ERR1797969_pass_1	(21.0, 1.0)	(22.0, 7.0)	(23.0, 39.0)	(24.0, 327.0)	(25.0, 1708.0)	(26.0, 6805.0)	(27.0, 20705.0)	(28.0, 47795.0)	(29.0, 89827.0)	(30.0, 145481.0)	(31.0, 211131.0)	(32.0, 289969.0)	(33.0, 395341.0)	(34.0, 556420.0)	(35.0, 829796.0)	(36.0, 1493908.0)	(37.0, 3643589.0)	(38.0, 4916081.0)	(39.0, 420988.0)	(40.0, 645.0)																			
trim_paired_ERR1797969_pass_2	(20.0, 1.0)	(21.0, 47.0)	(22.0, 457.0)	(23.0, 2211.0)	(24.0, 7197.0)	(25.0, 16971.0)	(26.0, 32653.0)	(27.0, 53304.0)	(28.0, 80762.0)	(29.0, 115601.0)	(30.0, 159771.0)	(31.0, 214552.0)	(32.0, 284358.0)	(33.0, 384518.0)	(34.0, 536589.0)	(35.0, 788368.0)	(36.0, 1443473.0)	(37.0, 3788783.0)	(38.0, 4262755.0)	(39.0, 896299.0)	(40.0, 1893.0)																		
trim_paired_ERR1797970_pass_1	(22.0, 4.0)	(23.0, 71.0)	(24.0, 399.0)	(25.0, 1852.0)	(26.0, 7384.0)	(27.0, 21993.0)	(28.0, 51584.0)	(29.0, 97179.0)	(30.0, 156705.0)	(31.0, 227587.0)	(32.0, 314703.0)	(33.0, 431425.0)	(34.0, 607981.0)	(35.0, 909116.0)	(36.0, 1634698.0)	(37.0, 4094790.0)	(38.0, 5628202.0)	(39.0, 506269.0)	(40.0, 807.0)																				
trim_paired_ERR1797970_pass_2	(20.0, 4.0)	(21.0, 64.0)	(22.0, 594.0)	(23.0, 2707.0)	(24.0, 8473.0)	(25.0, 19658.0)	(26.0, 37119.0)	(27.0, 60337.0)	(28.0, 90558.0)	(29.0, 129621.0)	(30.0, 177463.0)	(31.0, 238575.0)	(32.0, 315044.0)	(33.0, 424032.0)	(34.0, 590450.0)	(35.0, 865046.0)	(36.0, 1568411.0)	(37.0, 4153516.0)	(38.0, 4947603.0)	(39.0, 1060957.0)	(40.0, 2517.0)																		
trim_paired_ERR1797971_pass_1	(21.0, 1.0)	(22.0, 4.0)	(23.0, 51.0)	(24.0, 365.0)	(25.0, 1775.0)	(26.0, 6969.0)	(27.0, 20988.0)	(28.0, 48747.0)	(29.0, 92597.0)	(30.0, 150170.0)	(31.0, 219270.0)	(32.0, 302840.0)	(33.0, 413257.0)	(34.0, 585736.0)	(35.0, 877464.0)	(36.0, 1571495.0)	(37.0, 3911506.0)	(38.0, 5371664.0)	(39.0, 463054.0)	(40.0, 707.0)																			
trim_paired_ERR1797971_pass_2	(20.0, 2.0)	(21.0, 59.0)	(22.0, 493.0)	(23.0, 2561.0)	(24.0, 8286.0)	(25.0, 19423.0)	(26.0, 36567.0)	(27.0, 60286.0)	(28.0, 90262.0)	(29.0, 128469.0)	(30.0, 175844.0)	(31.0, 234947.0)	(32.0, 309722.0)	(33.0, 415195.0)	(34.0, 576606.0)	(35.0, 844609.0)	(36.0, 1544606.0)	(37.0, 4021551.0)	(38.0, 4621449.0)	(39.0, 945782.0)	(40.0, 1941.0)																		
trim_paired_ERR1797972_pass_1	(21.0, 2.0)	(22.0, 7.0)	(23.0, 44.0)	(24.0, 341.0)	(25.0, 1742.0)	(26.0, 6831.0)	(27.0, 20497.0)	(28.0, 47052.0)	(29.0, 89232.0)	(30.0, 144107.0)	(31.0, 211064.0)	(32.0, 292664.0)	(33.0, 401305.0)	(34.0, 569638.0)	(35.0, 858738.0)	(36.0, 1609056.0)	(37.0, 4032667.0)	(38.0, 4925798.0)	(39.0, 545274.0)	(40.0, 817.0)																			
trim_paired_ERR1797972_pass_2	(20.0, 1.0)	(21.0, 61.0)	(22.0, 564.0)	(23.0, 2686.0)	(24.0, 8307.0)	(25.0, 19107.0)	(26.0, 36351.0)	(27.0, 59393.0)	(28.0, 90048.0)	(29.0, 127706.0)	(30.0, 173788.0)	(31.0, 230609.0)	(32.0, 300257.0)	(33.0, 398375.0)	(34.0, 546046.0)	(35.0, 786473.0)	(36.0, 1355999.0)	(37.0, 3406229.0)	(38.0, 5184691.0)	(39.0, 1028733.0)	(40.0, 1452.0)																		
trim_paired_ERR1797973_pass_1	(22.0, 2.0)	(23.0, 48.0)	(24.0, 318.0)	(25.0, 1652.0)	(26.0, 6819.0)	(27.0, 20374.0)	(28.0, 46568.0)	(29.0, 87292.0)	(30.0, 141172.0)	(31.0, 205249.0)	(32.0, 283799.0)	(33.0, 390269.0)	(34.0, 550816.0)	(35.0, 829957.0)	(36.0, 1558902.0)	(37.0, 3973924.0)	(38.0, 5018470.0)	(39.0, 581164.0)	(40.0, 859.0)																				
trim_paired_ERR1797973_pass_2	(20.0, 8.0)	(21.0, 50.0)	(22.0, 550.0)	(23.0, 2619.0)	(24.0, 7874.0)	(25.0, 18147.0)	(26.0, 34623.0)	(27.0, 56511.0)	(28.0, 84403.0)	(29.0, 120684.0)	(30.0, 165219.0)	(31.0, 219867.0)	(32.0, 287969.0)	(33.0, 382524.0)	(34.0, 526819.0)	(35.0, 767432.0)	(36.0, 1322429.0)	(37.0, 3397870.0)	(38.0, 5250674.0)	(39.0, 1049933.0)	(40.0, 1449.0)																		
trim_paired_ERR1797974_pass_1	(22.0, 1.0)	(23.0, 41.0)	(24.0, 282.0)	(25.0, 1419.0)	(26.0, 5633.0)	(27.0, 16837.0)	(28.0, 40473.0)	(29.0, 76630.0)	(30.0, 127001.0)	(31.0, 186799.0)	(32.0, 260626.0)	(33.0, 359908.0)	(34.0, 508121.0)	(35.0, 764603.0)	(36.0, 1424051.0)	(37.0, 3580066.0)	(38.0, 4526254.0)	(39.0, 534426.0)	(40.0, 800.0)																				
trim_paired_ERR1797974_pass_2	(20.0, 4.0)	(21.0, 56.0)	(22.0, 541.0)	(23.0, 2546.0)	(24.0, 8177.0)	(25.0, 18499.0)	(26.0, 34964.0)	(27.0, 57655.0)	(28.0, 85767.0)	(29.0, 121139.0)	(30.0, 164673.0)	(31.0, 216450.0)	(32.0, 281685.0)	(33.0, 369456.0)	(34.0, 503255.0)	(35.0, 725595.0)	(36.0, 1246353.0)	(37.0, 3102420.0)	(38.0, 4584031.0)	(39.0, 889506.0)	(40.0, 1199.0)																		
