Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
trim_paired_ERR1797969_pass_1	(1.0, 12.196612656234972)	(2.0, 4.239880072319782)	(3.0, 2.776625245082563)	(4.0, 2.1165397284346734)	(5.0, 1.8311112659611897)	(6.0, 1.5195068428058354)	(7.0, 1.3701927523234532)	(8.0, 1.2358158830652362)	(9.0, 1.1307050383639776)	('>10', 17.598556886089508)	('>50', 7.4489139905057815)	('>100', 13.676121806278388)	('>500', 4.274182018024398)	('>1k', 7.66592450855582)	('>5k', 2.478235044028299)	('>10k+', 18.441076261926156)
trim_paired_ERR1797969_pass_2	(1.0, 14.153448160644135)	(2.0, 4.993450982935328)	(3.0, 3.270980883033104)	(4.0, 2.484216541243991)	(5.0, 2.031883774918569)	(6.0, 1.6922158169705066)	(7.0, 1.4949478138614853)	(8.0, 1.2743872557247151)	(9.0, 1.2105261833421443)	('>10', 17.46833391102432)	('>50', 6.37908534896866)	('>100', 11.713999766105108)	('>500', 3.043391326734096)	('>1k', 4.616923702582521)	('>5k', 1.958958718371473)	('>10k+', 22.213249813539818)
trim_paired_ERR1797970_pass_1	(1.0, 11.870207702745374)	(2.0, 4.052658340849045)	(3.0, 2.714375328818279)	(4.0, 2.0847856530317297)	(5.0, 1.7046324939462492)	(6.0, 1.4687740182914955)	(7.0, 1.3411244667664446)	(8.0, 1.189114758213395)	(9.0, 1.0317433082726162)	('>10', 17.229977680437592)	('>50', 7.391996705181596)	('>100', 14.557388629669946)	('>500', 4.581862607452171)	('>1k', 8.165792797572085)	('>5k', 2.6488071665270922)	('>10k+', 17.966758342224967)
trim_paired_ERR1797970_pass_2	(1.0, 13.766182982085324)	(2.0, 4.865770495891132)	(3.0, 3.122165121944781)	(4.0, 2.4417326662445578)	(5.0, 1.9368332038379183)	(6.0, 1.6704199218151436)	(7.0, 1.4878697806022771)	(8.0, 1.2852929587391522)	(9.0, 1.1850989563030956)	('>10', 17.717458946238036)	('>50', 6.736800870601338)	('>100', 12.448965746330611)	('>500', 3.3247003066700085)	('>1k', 5.032109415997957)	('>5k', 2.102613302794617)	('>10k+', 20.875985323904043)
trim_paired_ERR1797971_pass_1	(1.0, 12.135734731222477)	(2.0, 4.065682862075024)	(3.0, 2.6223951180851737)	(4.0, 2.06464154227956)	(5.0, 1.757928145895626)	(6.0, 1.475692131711745)	(7.0, 1.283594598692363)	(8.0, 1.1353428401468035)	(9.0, 1.0040626074095864)	('>10', 16.792314705027394)	('>50', 7.164070533223434)	('>100', 14.175659935606014)	('>500', 4.502569848876394)	('>1k', 8.09658992171852)	('>5k', 2.8084756538331583)	('>10k+', 18.915244824196762)
trim_paired_ERR1797971_pass_2	(1.0, 13.85649649901076)	(2.0, 4.839783974263097)	(3.0, 3.1852486659414527)	(4.0, 2.4304716790988374)	(5.0, 1.935928550678386)	(6.0, 1.6336606150864765)	(7.0, 1.442951115996755)	(8.0, 1.222512690593253)	(9.0, 1.1249439261741268)	('>10', 17.08976478119097)	('>50', 6.549232197722603)	('>100', 12.16775458686031)	('>500', 3.192431007108057)	('>1k', 4.965572163190493)	('>5k', 2.0763851477790594)	('>10k+', 22.28686239930539)
trim_paired_ERR1797972_pass_1	(1.0, 12.716456250634595)	(2.0, 4.174015559901895)	(3.0, 2.8178765056644637)	(4.0, 2.191216808852335)	(5.0, 1.8377201843794484)	(6.0, 1.6281945983181907)	(7.0, 1.393805645265384)	(8.0, 1.2787684186144352)	(9.0, 1.1172959015841095)	('>10', 19.648699405981667)	('>50', 8.50206701784843)	('>100', 18.65642128011837)	('>500', 6.463074454089187)	('>1k', 10.962383502197817)	('>5k', 2.2617640435235646)	('>10k+', 4.350240423025999)
trim_paired_ERR1797972_pass_2	(1.0, 15.10176344487001)	(2.0, 5.373584901803348)	(3.0, 3.5206746640378586)	(4.0, 2.6952886816883073)	(5.0, 2.2076762130525394)	(6.0, 1.8379951308445324)	(7.0, 1.6151020845964412)	(8.0, 1.4098055181629703)	(9.0, 1.3561533516304483)	('>10', 20.615094108186412)	('>50', 8.365867645998646)	('>100', 17.049686923803694)	('>500', 5.619359570342299)	('>1k', 9.02795018037926)	('>5k', 1.8916415585838866)	('>10k+', 2.31235602201926)
trim_paired_ERR1797973_pass_1	(1.0, 12.546320426662385)	(2.0, 4.1049382470160625)	(3.0, 2.750120592149331)	(4.0, 2.1696757984257395)	(5.0, 1.8463360319564384)	(6.0, 1.5911025966404004)	(7.0, 1.389547679959776)	(8.0, 1.2701556074161915)	(9.0, 1.1449111764249609)	('>10', 19.198221084717108)	('>50', 8.391717484306389)	('>100', 18.400706785850986)	('>500', 6.567909518771228)	('>1k', 11.26217021044407)	('>5k', 2.608092390554177)	('>10k+', 4.75807436870476)
trim_paired_ERR1797973_pass_2	(1.0, 14.54808739289616)	(2.0, 5.285881390661943)	(3.0, 3.4877338425491096)	(4.0, 2.747662270796423)	(5.0, 2.2420708304189874)	(6.0, 1.9273281903081474)	(7.0, 1.6439017175628179)	(8.0, 1.4714186071764237)	(9.0, 1.3142597226271227)	('>10', 20.70686251388117)	('>50', 8.372840302017337)	('>100', 17.013382965039)	('>500', 5.426475829663632)	('>1k', 8.948471318195082)	('>5k', 2.6141565436704184)	('>10k+', 2.249466562536165)
trim_paired_ERR1797974_pass_1	(1.0, 13.922704879433132)	(2.0, 4.551543332306548)	(3.0, 3.12200650447096)	(4.0, 2.3809011170007612)	(5.0, 1.9881768174405414)	(6.0, 1.6998564415602873)	(7.0, 1.4926850260929665)	(8.0, 1.3632076149451806)	(9.0, 1.1862635770827805)	('>10', 19.78109695784134)	('>50', 8.496055846363308)	('>100', 18.20265073325772)	('>500', 6.029075232459986)	('>1k', 9.991644220934282)	('>5k', 2.3792095664015385)	('>10k+', 3.4129221324087933)
trim_paired_ERR1797974_pass_2	(1.0, 16.630145473632403)	(2.0, 5.851518644297955)	(3.0, 3.7666008865835043)	(4.0, 2.884596662957292)	(5.0, 2.278785942826158)	(6.0, 2.001606107347177)	(7.0, 1.7389051241838527)	(8.0, 1.5088950511343822)	(9.0, 1.3640928014442526)	('>10', 21.083140734755656)	('>50', 8.31249679979917)	('>100', 15.971420942124023)	('>500', 5.158271959000777)	('>1k', 8.074739745526417)	('>5k', 1.6772801332035674)	('>10k+', 1.6975029911835755)
