Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
ERR1797969_1	5.584375407712918	11.181539314243448
ERR1797969_2	1.811787533723545	19.45549371084992
ERR1797970_1	5.33696673247134	11.28768906954095
ERR1797970_2	1.761490224289058	18.043877875137323
ERR1797971_1	6.122428726369419	11.612881961592004
ERR1797971_2	1.7902458980322615	19.15087189734446
ERR1797972_1	0.7609656291596064	2.2501850519393636
ERR1797972_2	0.2093254655546366	1.1005217201713335
ERR1797973_1	0.6639575107271053	2.9404751070205655
ERR1797973_2	0.19663646071904792	1.2249189465853196
ERR1797974_1	0.5897674531480548	1.441340141256239
ERR1797974_2	0.2034321855638191	1.1172031951391765
trim_paired_ERR1797969_pass_1	3.0925676269645	14.393389175355336
trim_paired_ERR1797969_pass_2	1.9311562937265978	18.877182260626416
trim_paired_ERR1797970_pass_1	2.970165759994947	13.121138869247682
trim_paired_ERR1797970_pass_2	2.0977490325329864	17.213572490757173
trim_paired_ERR1797971_pass_1	2.9987691132914396	14.44557386531193
trim_paired_ERR1797971_pass_2	2.2457912649782816	18.641537012791815
trim_paired_ERR1797972_pass_1	0.28069599522449723	3.00241130326391
trim_paired_ERR1797972_pass_2	0.27002496787788155	1.0069800730921759
trim_paired_ERR1797973_pass_1	0.47406658103643146	3.3084351524720947
trim_paired_ERR1797973_pass_2	0.2587085350527908	1.3914791540215572
trim_paired_ERR1797974_pass_1	0.4220083968296688	2.791983322661218
trim_paired_ERR1797974_pass_2	0.24320179256097826	1.1775684025683644
